TT,C0,beta,ETF,FC,FRAC,K2
-3.921398110227366729e+00,7.690876254326051153e+00,2.134446801556268092e+00,8.744348703957127711e-02,1.908238790559610720e+02,2.044978976841514973e-01,3.966215134710848050e-02
-3.298149035319227096e+00,5.477971979600367192e+00,2.778464915536442259e+00,4.981653886240151596e-01,2.418435497962130398e+02,4.000239522628987188e-01,3.455208857537855199e-02
-1.757221385602469876e+00,7.680646191291956804e+00,2.438383075708053127e+00,6.711689176934505507e-01,1.205662235444870447e+02,5.324842754865451999e-01,4.474037465949599890e-02
-3.334013346743002426e+00,6.938658993432026634e+00,2.283852843547138356e+00,5.838118070348707889e-01,5.000805356087717968e+01,8.384387275414363350e-01,3.909439795510679522e-02
-3.334013346743002426e+00,6.938658993432026634e+00,2.283852843547138356e+00,5.838118070348707889e-01,5.000805356087717968e+01,8.384387275414363350e-01,3.909439795510679522e-02
-3.371790038552108459e+00,6.730561640791360212e+00,2.584967094204634108e+00,6.805830079951507017e-01,1.330304667632347844e+02,8.594468697169961313e-01,4.099885387440560525e-02
-3.371790038552108459e+00,6.730561640791360212e+00,2.584967094204634108e+00,6.805830079951507017e-01,1.330304667632347844e+02,8.594468697169961313e-01,4.099885387440560525e-02
-3.199223160303906521e+00,5.062306297079842921e+00,2.569960573458717423e+00,8.224018732481230831e-01,1.307703573514289133e+02,8.184638238863656268e-01,3.711331212577029942e-02
-3.199223160303906521e+00,5.062306297079842921e+00,2.569960573458717423e+00,8.224018732481230831e-01,1.307703573514289133e+02,8.184638238863656268e-01,3.711331212577029942e-02
-3.199223160303906521e+00,5.062306297079842921e+00,2.569960573458717423e+00,8.224018732481230831e-01,1.307703573514289133e+02,8.184638238863656268e-01,3.711331212577029942e-02
-3.199223160303906521e+00,5.062306297079842921e+00,2.569960573458717423e+00,8.224018732481230831e-01,1.307703573514289133e+02,8.184638238863656268e-01,3.711331212577029942e-02
-2.477941281419443198e-01,7.518603844069315478e+00,2.712211757359170861e+00,7.646028833632619870e-01,2.126530116724840695e+02,5.201294595604087911e-01,3.561652834896673891e-02
-2.447189440807191918e+00,8.223802884961882498e+00,2.682516750306527253e+00,4.931931246045683226e-01,2.812441355459661736e+02,3.739396093622096018e-01,3.814319192566735517e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.476622428978578316e+00,9.546595479787370664e+00,2.640305881571856972e+00,2.846983921992030098e-01,2.847707779348882013e+02,1.165830498401627530e-01,3.913424988231056778e-02
-3.167766756039414933e+00,9.962164753086181435e+00,2.544670801588098108e+00,3.942465630001413257e-01,4.029470067058809946e+02,2.175754165556282593e-01,2.657599217423048388e-02
-3.167766756039414933e+00,9.962164753086181435e+00,2.544670801588098108e+00,3.942465630001413257e-01,4.029470067058809946e+02,2.175754165556282593e-01,2.657599217423048388e-02
-3.167766756039414933e+00,9.962164753086181435e+00,2.544670801588098108e+00,3.942465630001413257e-01,4.029470067058809946e+02,2.175754165556282593e-01,2.657599217423048388e-02
-2.522765493362989719e+00,8.675243749976855767e+00,2.190391227834031618e+00,3.420300661757973426e-01,4.657033639822205373e+02,3.003712680078555186e-01,2.675647338243899304e-02
-3.619215801662333032e+00,7.448905870457677381e+00,2.443409875455305968e+00,2.199593540168229000e-01,4.864066853056041850e+02,4.858339148854718959e-01,3.321944592148640824e-02
-3.748010456097595089e+00,6.333825452376363074e+00,1.899713359519957567e+00,3.715976421720618150e-01,4.334767425932348033e+02,7.155477655305302331e-01,3.692724447955287453e-02
-3.748010456097595089e+00,6.333825452376363074e+00,1.899713359519957567e+00,3.715976421720618150e-01,4.334767425932348033e+02,7.155477655305302331e-01,3.692724447955287453e-02
-2.576138166718316747e+00,7.533308144104269743e+00,2.425688995430897776e+00,4.897702268887637600e-01,4.398247883132177662e+02,8.494450288726945741e-01,3.737765954928125994e-02
-2.576138166718316747e+00,7.533308144104269743e+00,2.425688995430897776e+00,4.897702268887637600e-01,4.398247883132177662e+02,8.494450288726945741e-01,3.737765954928125994e-02
-2.576138166718316747e+00,7.533308144104269743e+00,2.425688995430897776e+00,4.897702268887637600e-01,4.398247883132177662e+02,8.494450288726945741e-01,3.737765954928125994e-02
-1.493083307553911165e+00,8.366453667394749161e+00,2.471557966174481535e+00,4.277123351524152461e-01,4.251500509226681288e+02,7.272768022076848693e-01,4.198461290729983697e-02
