TT,C0,beta,ETF,FC,FRAC,K2
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
-4.958078061666615355e-01,3.790538526197658187e-01,2.844500650899383309e+00,9.294987919038070201e-01,1.123782818543700728e+02,2.182217534221837785e-01,4.118373487069360017e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
-4.958078061666615355e-01,3.790538526197658187e-01,2.844500650899383309e+00,9.294987919038070201e-01,1.123782818543700728e+02,2.182217534221837785e-01,4.118373487069360017e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
-4.958078061666615355e-01,3.790538526197658187e-01,2.844500650899383309e+00,9.294987919038070201e-01,1.123782818543700728e+02,2.182217534221837785e-01,4.118373487069360017e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
-4.958078061666615355e-01,3.790538526197658187e-01,2.844500650899383309e+00,9.294987919038070201e-01,1.123782818543700728e+02,2.182217534221837785e-01,4.118373487069360017e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
2.305973939173331100e-01,3.378014089686986465e-01,1.879061019722116033e+00,6.902875450035180771e-01,1.184404366426109476e+02,4.767041990272870566e-01,4.528991500229866823e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.360872346292876012e+00,7.398215347687253640e-01,2.401282492057500662e+00,8.699385695337227276e-01,1.049217250199370852e+02,3.306668252702095745e-01,3.998983821939911670e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
6.678742588247431611e-01,4.389556916502427297e-01,2.527263287749536680e+00,8.572664417639128676e-01,8.930451354074064341e+01,2.525708443417545301e-01,3.224103787256134279e-02
1.080115494602907456e+00,5.038606536618187581e-01,2.798030393909195723e+00,6.441321563927393523e-01,8.327030390517808200e+01,3.619520260182174654e-01,4.663660770279892676e-02
