# TT,C0,beta,ETF,FC,FRAC,K2
1.459202258431702592e+00,1.770735397741610706e+00,1.414057388936688531e+00,0.000000000000000000e+00,6.969101409419812398e+02,1.633896575427032927e-01,4.573110053115775342e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
1.459202258431702592e+00,1.770735397741610706e+00,1.414057388936688531e+00,0.000000000000000000e+00,6.969101409419812398e+02,1.633896575427032927e-01,4.573110053115775342e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
3.137611437452125784e-02,1.135346293166825893e+00,1.564152653648653857e+00,4.816593450257401071e-02,6.887291804299848081e+02,1.000000000000000056e-01,4.988335404990670852e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.377166024137978007e-01,1.301892745709506194e+00,1.506726986257249212e+00,8.949071652161046109e-02,1.000000000000000000e+03,1.000000000000000056e-01,5.365117036240434067e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
-2.377166024137978007e-01,1.301892745709506194e+00,1.506726986257249212e+00,8.949071652161046109e-02,1.000000000000000000e+03,1.000000000000000056e-01,5.365117036240434067e-02
-2.056923070153367228e-01,1.004867502755098174e+00,1.346276645226729407e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,6.622014650474908337e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
-2.377166024137978007e-01,1.301892745709506194e+00,1.506726986257249212e+00,8.949071652161046109e-02,1.000000000000000000e+03,1.000000000000000056e-01,5.365117036240434067e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
9.848557768374480714e-01,1.928646221244178394e+00,1.290143767950514109e+00,3.334716041047494639e-02,9.264392852521265240e+02,1.000000000000000056e-01,3.235584929430155438e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
9.848557768374480714e-01,1.928646221244178394e+00,1.290143767950514109e+00,3.334716041047494639e-02,9.264392852521265240e+02,1.000000000000000056e-01,3.235584929430155438e-02
8.505596901258791753e-01,1.828221576549817096e+00,1.506797939420458921e+00,2.633332836378414199e-01,8.788620240492091398e+02,1.000000000000000056e-01,4.812050093608673251e-02
