TT,C0,beta,ETF,FC,FRAC,K2
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
1.770864319656850983e+00,1.933424241352935891e+00,1.281987001211063237e+00,3.954937579442813211e-01,4.053325146245159658e+02,1.173822693661106531e-01,3.788018849692399020e-02
