TT,C0,beta,ETF,FC,FRAC,K2
-2.810584248580967337e+00,1.710485712600318786e+00,3.993973803594277339e+00,7.881742121297576897e-01,5.000000000000000000e+01,7.230132822923416303e-01,9.011232097055688062e-02
-4.000000000000000000e+00,1.156415977388171035e+00,4.000000000000000000e+00,8.043377222941302529e-01,1.587685062454458205e+02,4.791035639724183226e-01,7.708240209966382706e-02
-4.000000000000000000e+00,1.156415977388171035e+00,4.000000000000000000e+00,8.043377222941302529e-01,1.587685062454458205e+02,4.791035639724183226e-01,7.708240209966382706e-02
-4.000000000000000000e+00,1.729144065911800920e+00,3.443115820063592736e+00,8.734931050153618148e-01,2.336412196661048313e+02,5.590246200625649253e-01,6.143236834834481935e-02
-4.000000000000000000e+00,1.729144065911800920e+00,3.443115820063592736e+00,8.734931050153618148e-01,2.336412196661048313e+02,5.590246200625649253e-01,6.143236834834481935e-02
-4.000000000000000000e+00,2.630898536243954755e+00,3.012213313980206308e+00,6.555417795870865927e-01,8.707423737610054104e+01,5.503407638341181185e-01,7.179324044453014309e-02
-4.000000000000000000e+00,2.234949702355615297e+00,2.577529326343998672e+00,4.580517252540694528e-01,5.000000000000000000e+01,5.451722224886932366e-01,7.859192273253279293e-02
-4.000000000000000000e+00,2.234949702355615297e+00,2.577529326343998672e+00,4.580517252540694528e-01,5.000000000000000000e+01,5.451722224886932366e-01,7.859192273253279293e-02
-3.046249346765935062e+00,4.009317123674395411e+00,2.760440332533644181e+00,3.890670033933931737e-01,5.000000000000000000e+01,5.082647166288961627e-01,1.000000000000000056e-01
-3.046249346765935062e+00,4.009317123674395411e+00,2.760440332533644181e+00,3.890670033933931737e-01,5.000000000000000000e+01,5.082647166288961627e-01,1.000000000000000056e-01
-1.758140845473605385e+00,4.646204061245604144e+00,2.485134328641839474e+00,2.728787266424268498e-01,1.009890384088208037e+02,4.660152282619368647e-01,9.443774051259849756e-02
-3.190832174195011195e+00,4.342881608930607484e+00,2.784072159735189178e+00,0.000000000000000000e+00,1.000634900260132412e+02,3.799863695838143762e-01,9.528792151600293248e-02
-3.218749024860040553e+00,5.000000000000000000e+00,2.701042146352500062e+00,2.641833032282577820e-01,5.000000000000000000e+01,5.207695246004954148e-01,9.729272728011116589e-02
-3.218749024860040553e+00,5.000000000000000000e+00,2.701042146352500062e+00,2.641833032282577820e-01,5.000000000000000000e+01,5.207695246004954148e-01,9.729272728011116589e-02
-2.116275757694008774e+00,5.000000000000000000e+00,3.001565513722351586e+00,1.535836195128155168e-01,1.143649325341420280e+02,4.218217672767688442e-01,1.000000000000000056e-01
