TT,C0,beta,ETF,FC,FRAC,K2
-9.591151487916086404e-01,2.855334591714993042e+00,3.008842623376533520e+00,4.838038689877365295e-01,1.092148781502271078e+02,3.629037321589600462e-01,3.527749841089733440e-02
5.372376395454715459e-01,3.263473419984230350e+00,3.494474027437513008e+00,3.773278813047011848e-01,1.798094054665935460e+02,3.656058623972882060e-01,6.664554794473177834e-02
5.372376395454715459e-01,3.263473419984230350e+00,3.494474027437513008e+00,3.773278813047011848e-01,1.798094054665935460e+02,3.656058623972882060e-01,6.664554794473177834e-02
5.372376395454715459e-01,3.263473419984230350e+00,3.494474027437513008e+00,3.773278813047011848e-01,1.798094054665935460e+02,3.656058623972882060e-01,6.664554794473177834e-02
5.372376395454715459e-01,3.263473419984230350e+00,3.494474027437513008e+00,3.773278813047011848e-01,1.798094054665935460e+02,3.656058623972882060e-01,6.664554794473177834e-02
5.372376395454715459e-01,3.263473419984230350e+00,3.494474027437513008e+00,3.773278813047011848e-01,1.798094054665935460e+02,3.656058623972882060e-01,6.664554794473177834e-02
-1.433015823939222777e+00,3.031089570462729643e+00,3.909651861898427061e+00,6.170857817819274116e-01,1.957637291364519285e+02,3.178572435346269098e-01,6.033507594121073625e-02
-1.433015823939222777e+00,3.031089570462729643e+00,3.909651861898427061e+00,6.170857817819274116e-01,1.957637291364519285e+02,3.178572435346269098e-01,6.033507594121073625e-02
-1.433015823939222777e+00,3.031089570462729643e+00,3.909651861898427061e+00,6.170857817819274116e-01,1.957637291364519285e+02,3.178572435346269098e-01,6.033507594121073625e-02
-1.280310954454588535e+00,3.596605481355921174e+00,3.359223200622099448e+00,5.614599815880980671e-01,7.548841626687496387e+01,4.860478724788562244e-01,5.399997358695468597e-02
-1.280310954454588535e+00,3.596605481355921174e+00,3.359223200622099448e+00,5.614599815880980671e-01,7.548841626687496387e+01,4.860478724788562244e-01,5.399997358695468597e-02
-1.280310954454588535e+00,3.596605481355921174e+00,3.359223200622099448e+00,5.614599815880980671e-01,7.548841626687496387e+01,4.860478724788562244e-01,5.399997358695468597e-02
-1.280310954454588535e+00,3.596605481355921174e+00,3.359223200622099448e+00,5.614599815880980671e-01,7.548841626687496387e+01,4.860478724788562244e-01,5.399997358695468597e-02
-3.359940272965883601e+00,3.510416358034476936e+00,2.933883624068106322e+00,5.258780905092960145e-01,2.152973768551208309e+02,6.757102170796064344e-01,5.057523027676272959e-02
-3.586962793878751388e+00,4.888370843364062246e+00,2.583500709464058520e+00,6.106056190345540147e-01,2.725350546349770866e+02,6.840098536304862753e-01,1.877437455360090809e-02
-3.088884997908824204e+00,3.996308482707316756e+00,3.115997678088621381e+00,5.991438536945136173e-01,1.616618360688038649e+02,7.164034301575215036e-01,3.292718318155130747e-02
-2.084440272690989637e+00,2.968551782448314746e+00,3.071277425229731239e+00,6.232014978359164958e-01,2.346452772461929044e+02,7.947656858216597398e-01,3.714054034062821280e-02
-2.548937598519282588e+00,2.781646340341958457e+00,3.763861896994407541e+00,4.780573687420392459e-01,6.092383531384859907e+01,7.960434764791938234e-01,2.009993441423075025e-02
1.378271569225718585e+00,2.579516983719700729e+00,3.036317854220429435e+00,3.609980916115737570e-01,2.515897734676905770e+02,8.776460069799768560e-01,5.903582120780591358e-02
7.735066154883993850e-01,3.241922003298006061e+00,2.981458150461712364e+00,3.099087030309654600e-01,3.864927492224262551e+02,8.567525909432703868e-01,6.364756934286214252e-02
7.735066154883993850e-01,3.241922003298006061e+00,2.981458150461712364e+00,3.099087030309654600e-01,3.864927492224262551e+02,8.567525909432703868e-01,6.364756934286214252e-02
7.735066154883993850e-01,3.241922003298006061e+00,2.981458150461712364e+00,3.099087030309654600e-01,3.864927492224262551e+02,8.567525909432703868e-01,6.364756934286214252e-02
-2.912633821019838809e+00,4.263166386372024164e+00,2.509327475029774490e+00,3.015591965367852012e-01,1.587491121195449466e+02,8.541078489236698656e-01,8.985393887965380244e-02
-1.405555463698481056e+00,2.969042969623928663e+00,2.757480788730816812e+00,1.478295250937752825e-01,1.950183281306213132e+02,8.169622215718800318e-01,7.103163671868760465e-02
-3.755148005214359319e+00,4.458763868537143793e+00,3.137032412910079948e+00,2.946097557903470388e-01,1.265017968999703157e+02,7.338400732705410157e-01,7.859053911268021331e-02
-3.755148005214359319e+00,4.458763868537143793e+00,3.137032412910079948e+00,2.946097557903470388e-01,1.265017968999703157e+02,7.338400732705410157e-01,7.859053911268021331e-02
-3.012796078433172653e+00,3.548120418778820895e+00,2.233326958441826271e+00,3.155679177603731289e-01,2.574999074288740530e+02,6.421166125673436476e-01,8.657254255620649985e-02
-3.012796078433172653e+00,3.548120418778820895e+00,2.233326958441826271e+00,3.155679177603731289e-01,2.574999074288740530e+02,6.421166125673436476e-01,8.657254255620649985e-02
-2.605166160095246486e+00,2.384437488613273537e+00,3.614357082041559366e+00,3.087937708206730525e-01,7.680627778784555915e+01,6.271952454373409536e-01,8.248071476438137428e-02
-1.605486299331009059e+00,1.726906327107796013e+00,3.627432583190987270e+00,4.628501796710494942e-02,2.577155289982540580e+02,7.639045294275053077e-01,4.726054580252042614e-02
-2.277057678001420449e+00,1.419354881473197993e+00,3.038312263266337077e+00,1.378555426932178141e-01,1.884310981287306390e+02,7.041909336649441187e-01,7.144525847780676397e-02
-2.710298440152200339e+00,2.940799273253805968e+00,2.766280143506293587e+00,5.219121635986736507e-01,1.319127688311183135e+02,5.594428449462760522e-01,7.238503357296441343e-02
-2.710298440152200339e+00,2.940799273253805968e+00,2.766280143506293587e+00,5.219121635986736507e-01,1.319127688311183135e+02,5.594428449462760522e-01,7.238503357296441343e-02
-3.833445119425851200e+00,1.828040856049860663e+00,3.391452932154192190e+00,3.205093912310690296e-01,1.752081841621751721e+02,7.165883905916512475e-01,5.438321098435671547e-02
-3.833445119425851200e+00,1.828040856049860663e+00,3.391452932154192190e+00,3.205093912310690296e-01,1.752081841621751721e+02,7.165883905916512475e-01,5.438321098435671547e-02
-3.771451398624230400e+00,1.521495800664954601e+00,3.243507964116613795e+00,2.317849909292266086e-01,3.637039741670744775e+02,8.351227735250510431e-01,6.338026841450082605e-02
-3.113996892300826325e+00,1.527322755862925652e+00,3.628071762481952067e+00,8.675722575610418652e-02,3.443216043842083423e+02,8.396230041161760749e-01,5.792947889216100432e-02
-3.113996892300826325e+00,1.527322755862925652e+00,3.628071762481952067e+00,8.675722575610418652e-02,3.443216043842083423e+02,8.396230041161760749e-01,5.792947889216100432e-02
-3.113996892300826325e+00,1.527322755862925652e+00,3.628071762481952067e+00,8.675722575610418652e-02,3.443216043842083423e+02,8.396230041161760749e-01,5.792947889216100432e-02
-7.364692369010734652e-01,9.354458526204763036e-01,3.120402985669088025e+00,1.091365382349144819e-01,2.647184814235507702e+02,6.204598937857721541e-01,9.108964542165918707e-04
-7.364692369010734652e-01,9.354458526204763036e-01,3.120402985669088025e+00,1.091365382349144819e-01,2.647184814235507702e+02,6.204598937857721541e-01,9.108964542165918707e-04
-7.364692369010734652e-01,9.354458526204763036e-01,3.120402985669088025e+00,1.091365382349144819e-01,2.647184814235507702e+02,6.204598937857721541e-01,9.108964542165918707e-04
-2.260203465892646424e+00,1.261054620239911994e+00,3.785702665973082581e+00,1.055813431955298642e-01,2.742705504705432986e+02,6.108327278716535469e-01,2.701211793375375703e-02
-2.260203465892646424e+00,1.261054620239911994e+00,3.785702665973082581e+00,1.055813431955298642e-01,2.742705504705432986e+02,6.108327278716535469e-01,2.701211793375375703e-02
-2.625384664376293031e+00,2.071880312624465592e+00,3.377634626178189325e+00,9.722817243890354011e-02,1.990214489159556024e+02,3.719020555560183516e-01,7.692889844352866768e-02
-2.625384664376293031e+00,2.071880312624465592e+00,3.377634626178189325e+00,9.722817243890354011e-02,1.990214489159556024e+02,3.719020555560183516e-01,7.692889844352866768e-02
-2.625384664376293031e+00,2.071880312624465592e+00,3.377634626178189325e+00,9.722817243890354011e-02,1.990214489159556024e+02,3.719020555560183516e-01,7.692889844352866768e-02
-2.625384664376293031e+00,2.071880312624465592e+00,3.377634626178189325e+00,9.722817243890354011e-02,1.990214489159556024e+02,3.719020555560183516e-01,7.692889844352866768e-02
-2.625384664376293031e+00,2.071880312624465592e+00,3.377634626178189325e+00,9.722817243890354011e-02,1.990214489159556024e+02,3.719020555560183516e-01,7.692889844352866768e-02
-7.072851969287645701e-01,1.471711789808696214e+00,3.861277843797591203e+00,9.686968374925734870e-02,3.838831485913437973e+02,3.170555211470104662e-01,8.057850767940520631e-02
-7.072851969287645701e-01,1.471711789808696214e+00,3.861277843797591203e+00,9.686968374925734870e-02,3.838831485913437973e+02,3.170555211470104662e-01,8.057850767940520631e-02
-7.072851969287645701e-01,1.471711789808696214e+00,3.861277843797591203e+00,9.686968374925734870e-02,3.838831485913437973e+02,3.170555211470104662e-01,8.057850767940520631e-02
-1.221136061540952333e+00,1.163013452935444558e+00,3.461374177921928919e+00,2.806266788598656414e-01,3.108475813181014473e+02,2.859980268508627299e-01,9.511829205497808470e-02
-9.288518082712108326e-01,1.499205337083611589e+00,2.689802554329724593e+00,1.074245322096070848e-01,8.695421162650806934e+01,2.273768061985990685e-01,6.980655999425726399e-02
-9.288518082712108326e-01,1.499205337083611589e+00,2.689802554329724593e+00,1.074245322096070848e-01,8.695421162650806934e+01,2.273768061985990685e-01,6.980655999425726399e-02
-2.529359285509289457e-01,3.907922122184073199e-01,2.321079342425405034e+00,3.420937514341141350e-01,7.807154003886475380e+01,3.343034651080920017e-01,9.095604989506679561e-02
1.134559949951601809e-01,1.243647015757234353e+00,2.519042091955111307e+00,2.780508155887669863e-01,2.585495697924877163e+02,3.022203029318865641e-01,7.999859727188161906e-02
-1.501655003602935023e+00,1.933034288793985089e+00,2.606342314386392189e+00,1.291751034853308444e-01,1.926922758556178223e+02,3.425949267519871055e-01,4.139445506629693683e-02
-1.501655003602935023e+00,1.933034288793985089e+00,2.606342314386392189e+00,1.291751034853308444e-01,1.926922758556178223e+02,3.425949267519871055e-01,4.139445506629693683e-02
-2.726879587445091957e+00,2.782895266818210978e+00,2.226664209642961190e+00,3.046657790330374593e-02,2.432231824067028469e+02,5.095788598752907239e-01,4.252579787094688812e-02
-2.588839649043217506e+00,2.298284747224230262e+00,1.289906302440247288e+00,9.120040441297856681e-02,5.749392286416964453e+02,6.127774333173963139e-01,7.154329826515487545e-02
-1.213152372084685293e+00,1.605957080917163493e+00,1.152528975620515261e+00,3.963272684509191457e-01,5.377764043287371578e+02,7.895755638023669309e-01,6.646662679981872601e-02
-1.213152372084685293e+00,1.605957080917163493e+00,1.152528975620515261e+00,3.963272684509191457e-01,5.377764043287371578e+02,7.895755638023669309e-01,6.646662679981872601e-02
-1.994042186226187674e+00,2.912351256836398061e+00,1.699882310575032918e+00,3.486138549180582968e-01,3.857036924906781792e+02,8.395507921711595767e-01,7.410063726459288624e-02
-1.747801007266029050e+00,3.681957815533569711e+00,1.470701690957679775e+00,1.800231570624757360e-01,2.630467399165200959e+02,7.550907139596855222e-01,6.348563798718186157e-02
3.805176978075018313e-01,3.973679326323479533e+00,1.951520975625140597e+00,4.166904891316505211e-01,3.214189651338750764e+02,8.781255880489682308e-01,4.655730234291967362e-02
2.336493572595939927e+00,4.687426308746404757e+00,3.223955945580637916e+00,4.352598062736438012e-01,5.780418356529314678e+02,8.968751278031512619e-01,2.726034906685902148e-02
2.336493572595939927e+00,4.687426308746404757e+00,3.223955945580637916e+00,4.352598062736438012e-01,5.780418356529314678e+02,8.968751278031512619e-01,2.726034906685902148e-02
1.098384463392871879e+00,4.712395207582435575e+00,2.749524825988031385e+00,2.994198899189721153e-01,7.496581057505405852e+02,7.214120646143991067e-01,4.915872309367525644e-02
1.562170125086375316e+00,4.108142089974744948e+00,2.869787549081673994e+00,4.065117168445692153e-01,6.871644314908326123e+02,8.626951207945207090e-01,5.291125507527946747e-02
1.562170125086375316e+00,4.108142089974744948e+00,2.869787549081673994e+00,4.065117168445692153e-01,6.871644314908326123e+02,8.626951207945207090e-01,5.291125507527946747e-02
5.132800269516915037e-01,4.265768632432084928e+00,2.555318388568612598e+00,4.097600005494402842e-01,6.193000762874230531e+02,7.898898785665963151e-01,6.363148716492260382e-02
-1.034969387989984835e+00,4.189056574471625716e+00,2.087438280957134129e+00,2.910134001549667948e-01,7.230887595681542734e+02,6.288154379357121515e-01,6.360850380345153821e-02
8.286799299306840672e-02,3.159430034783524022e+00,2.937900830970041177e+00,1.253928596108068172e-01,9.379657997771690816e+02,6.744063654394881757e-01,7.902955062004408948e-02
1.411195546874921769e+00,3.248199226090890068e+00,2.809770855312424320e+00,3.512993615136635883e-01,8.961327525226117814e+02,6.880689863546194385e-01,8.088780403141111741e-02
2.119529528274281205e+00,3.067769631250732321e+00,2.841483569054375824e+00,4.363406309074485123e-01,7.715087081661987440e+02,6.926454223429214796e-01,9.320597008101916270e-02
3.561071752831922232e+00,2.243582272119498011e+00,2.736686042513905015e+00,6.374608663617471471e-01,7.860244846208469198e+02,5.413879233855229955e-01,9.679416437522345151e-02
2.603794503778598113e+00,1.685623276892356914e+00,2.828044942599184264e+00,7.989136943114715228e-01,5.992994937562809810e+02,4.739007657253025974e-01,9.169992684828884300e-02
2.603794503778598113e+00,1.685623276892356914e+00,2.828044942599184264e+00,7.989136943114715228e-01,5.992994937562809810e+02,4.739007657253025974e-01,9.169992684828884300e-02
2.514013920846414951e+00,2.082926013158644452e+00,3.088996258116816662e+00,6.747217912152794206e-01,7.227362022196363114e+02,6.060492578618861259e-01,8.555282835763824978e-02
1.274283043880771071e+00,2.008643918078297563e+00,3.466370788743827092e+00,8.324057481197492114e-01,4.344724133924491980e+02,6.188553019765022922e-01,9.744786957251977411e-02
2.823312056577887308e+00,2.251678560277274421e+00,3.009067199406876725e+00,5.250247471900039153e-01,2.758569425132292281e+02,4.635507040826637448e-01,9.123579448131666214e-02
1.127995259778580284e+00,1.352634133076815459e+00,3.029050266914981471e+00,4.839182040601330281e-01,4.039891078969898217e+02,2.587253757638480756e-01,8.114883834799638263e-02
1.620410629791936286e+00,1.549970521592787032e+00,3.053615704704718326e+00,7.109296230640771430e-01,4.077475765187032266e+02,5.402658459781101152e-01,6.257999716453668815e-02
-3.813978813723290506e-01,1.292334251233434816e+00,3.120124052058867559e+00,7.575866392883782163e-01,5.102687619144405744e+02,7.226703272189689553e-01,4.567513654681162882e-02
