TT,C0,beta,ETF,FC,FRAC,K2
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
7.341917992027046092e-01,9.893703393962889336e+00,1.972293549381171518e+00,6.559204677814810536e-01,1.044629117767887294e+02,4.577638545600776765e-01,4.897974229485292652e-02
2.068204732938399459e+00,9.756555449470422303e+00,1.818679023290806773e+00,6.931163704928304803e-01,8.886852135332836156e+01,4.251360178401220602e-01,4.535862475090095269e-02
9.789886258002175046e-01,9.208159758938002426e+00,1.736013045011967293e+00,6.829961597421342345e-01,1.438270173736230788e+02,3.324718539026544906e-01,4.419333670343670445e-02
9.789886258002175046e-01,9.208159758938002426e+00,1.736013045011967293e+00,6.829961597421342345e-01,1.438270173736230788e+02,3.324718539026544906e-01,4.419333670343670445e-02
7.773342085833261361e-01,8.783071300837256956e+00,1.824124410946368124e+00,5.715751621785924996e-01,1.016489682358890718e+02,2.623372495986340258e-01,4.264434668678160345e-02
7.773342085833261361e-01,8.783071300837256956e+00,1.824124410946368124e+00,5.715751621785924996e-01,1.016489682358890718e+02,2.623372495986340258e-01,4.264434668678160345e-02
-4.709414162293554251e-01,7.713574815324170331e+00,1.882143122057442275e+00,6.124554447183278016e-01,6.091560701822365331e+01,3.270923665699281835e-01,3.781687622467944099e-02
5.696526839289398625e-01,7.661783216724543877e+00,2.062974086809700403e+00,5.267182956006654093e-01,1.019688255369894421e+02,3.921935280550529757e-01,4.296240583339491770e-02
4.046755994552880820e-01,7.825008360081572967e+00,2.127865898853522619e+00,5.102406262552299232e-01,1.009085139340718200e+02,3.007679548572019246e-01,4.147673199960300039e-02
1.123215842945638032e+00,7.655114053296159682e+00,2.102253203620460642e+00,4.621873742234638982e-01,8.557109332110933053e+01,2.825541293412746624e-01,4.386140531842377954e-02
2.189087319238253837e+00,8.073315894103533452e+00,2.094658817941796425e+00,5.247787817359382823e-01,1.238470403243655085e+02,2.765479689278997899e-01,3.178369611654589810e-02
2.320482720740148608e+00,7.422498772914786436e+00,2.007526082378170429e+00,5.928785874317774596e-01,5.262736741149646491e+01,2.062330973128047307e-01,4.115092238230280003e-02
2.320482720740148608e+00,7.422498772914786436e+00,2.007526082378170429e+00,5.928785874317774596e-01,5.262736741149646491e+01,2.062330973128047307e-01,4.115092238230280003e-02
2.320482720740148608e+00,7.422498772914786436e+00,2.007526082378170429e+00,5.928785874317774596e-01,5.262736741149646491e+01,2.062330973128047307e-01,4.115092238230280003e-02
2.623572542704413202e+00,9.326329129144751207e+00,1.990736781960529944e+00,6.270335350961353527e-01,6.311772407514219196e+01,1.857967954075894768e-01,3.810858968781374867e-02
2.623572542704413202e+00,9.326329129144751207e+00,1.990736781960529944e+00,6.270335350961353527e-01,6.311772407514219196e+01,1.857967954075894768e-01,3.810858968781374867e-02
2.623572542704413202e+00,9.326329129144751207e+00,1.990736781960529944e+00,6.270335350961353527e-01,6.311772407514219196e+01,1.857967954075894768e-01,3.810858968781374867e-02
2.623572542704413202e+00,9.326329129144751207e+00,1.990736781960529944e+00,6.270335350961353527e-01,6.311772407514219196e+01,1.857967954075894768e-01,3.810858968781374867e-02
2.394063751604475598e+00,8.828208038036665428e+00,2.171103518375526065e+00,6.548882741381784056e-01,6.644508040493458623e+01,2.264507679829865505e-01,3.246909163216406269e-02
1.614448659587759183e+00,9.269065829479668395e+00,2.054474865967892860e+00,6.034202113705564585e-01,6.952666166549909121e+01,3.243162345887006248e-01,2.916788172649410413e-02
1.614448659587759183e+00,9.269065829479668395e+00,2.054474865967892860e+00,6.034202113705564585e-01,6.952666166549909121e+01,3.243162345887006248e-01,2.916788172649410413e-02
3.043671201681941163e-01,9.249219482236094692e+00,1.900340332528317244e+00,7.047069108078583000e-01,8.273784684333917028e+01,4.613883088018242984e-01,1.874345540492472137e-02
7.804657098728948750e-01,9.289195139267896195e+00,2.221828443677783316e+00,8.430950107315486886e-01,1.141181072949064372e+02,4.542654856722502243e-01,1.824642431914425336e-02
7.804657098728948750e-01,9.289195139267896195e+00,2.221828443677783316e+00,8.430950107315486886e-01,1.141181072949064372e+02,4.542654856722502243e-01,1.824642431914425336e-02
7.804657098728948750e-01,9.289195139267896195e+00,2.221828443677783316e+00,8.430950107315486886e-01,1.141181072949064372e+02,4.542654856722502243e-01,1.824642431914425336e-02
