TT,C0,beta,ETF,FC,FRAC,K2
-3.539617042959136040e+00,9.478779786640178173e+00,2.123374650017446630e+00,1.640795303214671597e-01,1.600348776985352686e+02,3.225825710769419929e-01,3.468095820441050026e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.700484348937907342e+00,8.349415735376666703e+00,2.576315614392438835e+00,1.426834237586329102e-01,1.373100061378741827e+02,5.647352758303272324e-01,4.510668301688824239e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.982496685530273250e+00,7.233354426749889932e+00,1.621605706740848252e+00,1.064982425501101310e-01,1.281835394483238133e+02,4.315960575105267649e-01,4.840177845349092484e-02
-3.409200001962980231e+00,7.354279333799258467e+00,1.888220564589416561e+00,1.648045037393195966e-01,7.941341072740684126e+01,4.471960467840168651e-01,4.331730607532478794e-02
-3.409200001962980231e+00,7.354279333799258467e+00,1.888220564589416561e+00,1.648045037393195966e-01,7.941341072740684126e+01,4.471960467840168651e-01,4.331730607532478794e-02
-3.409200001962980231e+00,7.354279333799258467e+00,1.888220564589416561e+00,1.648045037393195966e-01,7.941341072740684126e+01,4.471960467840168651e-01,4.331730607532478794e-02
-3.409200001962980231e+00,7.354279333799258467e+00,1.888220564589416561e+00,1.648045037393195966e-01,7.941341072740684126e+01,4.471960467840168651e-01,4.331730607532478794e-02
-2.688352798944648736e+00,6.413350728022225944e+00,1.958668908910387474e+00,1.325655467005960597e-01,7.436239522101732291e+01,5.373354612202728697e-01,2.995943644359569044e-02
-1.238790807143582251e+00,7.579927076530630359e+00,1.385135919618804223e+00,1.884211900241384297e-01,1.603305305939734353e+02,5.866354555802375526e-01,3.286363672949222520e-02
-1.238790807143582251e+00,7.579927076530630359e+00,1.385135919618804223e+00,1.884211900241384297e-01,1.603305305939734353e+02,5.866354555802375526e-01,3.286363672949222520e-02
-1.238790807143582251e+00,7.579927076530630359e+00,1.385135919618804223e+00,1.884211900241384297e-01,1.603305305939734353e+02,5.866354555802375526e-01,3.286363672949222520e-02
-1.238790807143582251e+00,7.579927076530630359e+00,1.385135919618804223e+00,1.884211900241384297e-01,1.603305305939734353e+02,5.866354555802375526e-01,3.286363672949222520e-02
4.122794362550946667e-01,8.778372942797263434e+00,1.406476466880539844e+00,5.099563096503805237e-01,1.845781998357436748e+02,5.190879750990506913e-01,2.691251879049626206e-02
4.122794362550946667e-01,8.778372942797263434e+00,1.406476466880539844e+00,5.099563096503805237e-01,1.845781998357436748e+02,5.190879750990506913e-01,2.691251879049626206e-02
4.122794362550946667e-01,8.778372942797263434e+00,1.406476466880539844e+00,5.099563096503805237e-01,1.845781998357436748e+02,5.190879750990506913e-01,2.691251879049626206e-02
4.122794362550946667e-01,8.778372942797263434e+00,1.406476466880539844e+00,5.099563096503805237e-01,1.845781998357436748e+02,5.190879750990506913e-01,2.691251879049626206e-02
4.122794362550946667e-01,8.778372942797263434e+00,1.406476466880539844e+00,5.099563096503805237e-01,1.845781998357436748e+02,5.190879750990506913e-01,2.691251879049626206e-02
-1.345715562313866798e+00,4.391760247733438760e+00,1.622963682178160116e+00,6.062701962283222334e-01,2.402854189414398434e+02,5.551286127758267019e-01,3.918311426407123516e-02
-1.345715562313866798e+00,4.391760247733438760e+00,1.622963682178160116e+00,6.062701962283222334e-01,2.402854189414398434e+02,5.551286127758267019e-01,3.918311426407123516e-02
-1.345715562313866798e+00,4.391760247733438760e+00,1.622963682178160116e+00,6.062701962283222334e-01,2.402854189414398434e+02,5.551286127758267019e-01,3.918311426407123516e-02
-1.732005762123591808e+00,8.024524416557703432e+00,1.162370044218381304e+00,5.454984403059400799e-01,1.818176384773154837e+02,5.185152816044557023e-01,4.278878202346288878e-02
-1.732005762123591808e+00,8.024524416557703432e+00,1.162370044218381304e+00,5.454984403059400799e-01,1.818176384773154837e+02,5.185152816044557023e-01,4.278878202346288878e-02
-1.948424284118617233e+00,9.064468413094040500e+00,1.192594539200789505e+00,7.577787345007247488e-01,2.293418320993392854e+02,6.519146248546874300e-01,4.535593218383769665e-02
-1.948424284118617233e+00,9.064468413094040500e+00,1.192594539200789505e+00,7.577787345007247488e-01,2.293418320993392854e+02,6.519146248546874300e-01,4.535593218383769665e-02
-1.948424284118617233e+00,9.064468413094040500e+00,1.192594539200789505e+00,7.577787345007247488e-01,2.293418320993392854e+02,6.519146248546874300e-01,4.535593218383769665e-02
-2.477420238014216292e+00,9.067246950292883412e+00,1.453108650210442221e+00,7.873222206011698532e-01,1.690050310163057929e+02,6.795258482705092140e-01,4.835115970455208800e-02
-2.477420238014216292e+00,9.067246950292883412e+00,1.453108650210442221e+00,7.873222206011698532e-01,1.690050310163057929e+02,6.795258482705092140e-01,4.835115970455208800e-02
-1.424326993208985037e+00,6.867318225655544062e+00,1.504380154916191481e+00,9.188529764986119730e-01,2.243496076871812477e+02,8.196973022795865926e-01,4.662354034153944754e-02
-2.574698115724544767e+00,8.643909592633805872e+00,1.542096625399611787e+00,9.481969027465224631e-01,2.127067461797023498e+02,8.194295177357280302e-01,4.951916136673069346e-02
-2.574698115724544767e+00,8.643909592633805872e+00,1.542096625399611787e+00,9.481969027465224631e-01,2.127067461797023498e+02,8.194295177357280302e-01,4.951916136673069346e-02
-2.574698115724544767e+00,8.643909592633805872e+00,1.542096625399611787e+00,9.481969027465224631e-01,2.127067461797023498e+02,8.194295177357280302e-01,4.951916136673069346e-02
-3.363665209340097384e+00,4.072485514939635287e+00,1.585694848419420433e+00,9.217854402006117054e-01,2.878726275716349505e+02,8.552668483940201183e-01,4.480849402130731435e-02
-3.363665209340097384e+00,4.072485514939635287e+00,1.585694848419420433e+00,9.217854402006117054e-01,2.878726275716349505e+02,8.552668483940201183e-01,4.480849402130731435e-02
-3.363665209340097384e+00,4.072485514939635287e+00,1.585694848419420433e+00,9.217854402006117054e-01,2.878726275716349505e+02,8.552668483940201183e-01,4.480849402130731435e-02
-3.363665209340097384e+00,4.072485514939635287e+00,1.585694848419420433e+00,9.217854402006117054e-01,2.878726275716349505e+02,8.552668483940201183e-01,4.480849402130731435e-02
-3.994201660468152504e+00,3.705166810041393699e+00,1.313561729612477524e+00,7.665696281413838520e-01,2.353568558669319941e+02,8.286186839310120122e-01,4.218060485229676443e-02
-3.065970382689826579e+00,4.057461416394025022e+00,1.621613200194930604e+00,7.111398297370777888e-01,1.900000245602961684e+02,8.512224688748072365e-01,4.019659650451862243e-02
-2.356540212310810567e+00,4.962524599701353623e+00,1.304982784321097933e+00,5.323353592600481576e-01,1.552422599766064764e+02,8.896453276676601352e-01,4.239644502124053499e-02
-2.356540212310810567e+00,4.962524599701353623e+00,1.304982784321097933e+00,5.323353592600481576e-01,1.552422599766064764e+02,8.896453276676601352e-01,4.239644502124053499e-02
-2.356540212310810567e+00,4.962524599701353623e+00,1.304982784321097933e+00,5.323353592600481576e-01,1.552422599766064764e+02,8.896453276676601352e-01,4.239644502124053499e-02
-2.356540212310810567e+00,4.962524599701353623e+00,1.304982784321097933e+00,5.323353592600481576e-01,1.552422599766064764e+02,8.896453276676601352e-01,4.239644502124053499e-02
-2.356540212310810567e+00,4.962524599701353623e+00,1.304982784321097933e+00,5.323353592600481576e-01,1.552422599766064764e+02,8.896453276676601352e-01,4.239644502124053499e-02
-1.366804021196536878e+00,4.664438713407752068e+00,1.146515176260119784e+00,5.244112570879679858e-01,2.256085636130686964e+02,8.533847358070889566e-01,4.614123927141178944e-02
-1.366804021196536878e+00,4.664438713407752068e+00,1.146515176260119784e+00,5.244112570879679858e-01,2.256085636130686964e+02,8.533847358070889566e-01,4.614123927141178944e-02
