TT,C0,beta,ETF,FC,FRAC,K2
-2.324865817227673048e+00,2.989936001017049261e+00,1.408013950246010282e+00,2.018179477107875097e-01,2.467027421307345207e+02,3.676098905219551960e-01,2.650807757396872466e-02
-3.805417707877967182e+00,2.288646567095828921e+00,1.016449646044063293e+00,3.107456126997287238e-01,2.805486755471945912e+02,3.504878808363391940e-01,3.637464531933447959e-02
-2.834961426978041210e+00,4.361237241319770419e+00,1.686691438535177223e+00,3.424791979643965201e-01,3.464474716389938180e+02,6.140356879041960481e-01,2.606224851147721788e-02
-3.953323161909942041e+00,2.929769759532229401e+00,1.688849989024769238e+00,2.841927691101086562e-01,3.651358398906692173e+02,4.080907198674189607e-01,2.747719436968055692e-02
-3.281321054973341589e+00,3.947230950749543332e+00,1.626439331968289270e+00,3.033590444814237008e-01,2.322833337455204514e+02,4.525027274503652386e-01,1.512239180959036242e-02
-1.046683033915145167e+00,3.549834471830105809e+00,1.637093816657381851e+00,3.070286513640245740e-01,2.905366497709856048e+02,3.013793032358522139e-01,2.701469305765287141e-02
8.412456629998085189e-01,4.930256561838101348e+00,1.531707775403716720e+00,2.590189158780484280e-01,2.249923069708843286e+02,3.120125727421441120e-01,1.071962684424041141e-02
3.576964265797835107e+00,4.318706084867326211e+00,1.802587217326737656e+00,2.546834803491387911e-01,1.866901909385080103e+02,1.366286905855439160e-01,2.528617929912864090e-03
3.637215998717642673e+00,4.181784088618960560e+00,1.803191310648551093e+00,3.999835482305074685e-01,2.015493495927494791e+02,2.322286247389374614e-01,1.716992416808204441e-02
2.610900127630976897e+00,2.754420693347249927e+00,1.966374767295619552e+00,3.348843745474878175e-01,2.667722858327747986e+02,1.820194897883637142e-01,1.476841623658395157e-02
1.525924861991316828e+00,2.334283432969056715e+00,1.867851774432940815e+00,8.642337912419154056e-02,1.472327574760919902e+02,3.799380810330779124e-01,9.866785830980526889e-03
1.402819463500512231e+00,4.855613048454112679e+00,1.992935510898345086e+00,1.804195842083917423e-01,1.290339185473675627e+02,4.233392357063047728e-01,1.192797157669902262e-02
1.330582310675503477e+00,5.308366954724134779e+00,1.840448255863901039e+00,5.048580982994895980e-03,1.538355214903304216e+02,1.804063030125674094e-01,7.717566744457304319e-03
-2.311713631475714070e+00,1.136170670800013438e+00,2.177271228334067832e+00,1.898377252733043918e-01,1.899825702245557295e+02,3.525720963184320600e-01,6.823743640437278032e-03
-6.728424577282799968e-01,2.036923313216689291e+00,2.127075032357911066e+00,1.154252820113706446e-01,3.418114046427727430e+02,3.030556929614898198e-01,1.107479879341061700e-02
-3.444811867309846565e-01,3.114269508895078697e+00,2.072096097291543870e+00,1.587083135437220294e-01,3.515409418166552769e+02,3.906282410135940020e-01,2.366531784162241928e-02
-1.716010368997536784e+00,3.190968823943065580e+00,2.082703231184401815e+00,1.944316956371255622e-01,2.448900508139590784e+02,5.472556113363994390e-01,1.690186539031073715e-02
-1.936545118236306928e+00,2.587534618647724827e+00,2.201694006069533138e+00,2.402896572899501093e-01,2.810069832236939646e+02,8.405460243686164734e-01,1.741820560789520203e-02
-1.618439542130234443e+00,4.008817050482305078e+00,2.670794846703817171e+00,3.121618353516723565e-01,1.863669671261003202e+02,6.892397935985550284e-01,1.678441449968145344e-02
8.790403711786926033e-02,2.957646714251223052e+00,2.597623116852786129e+00,3.086841741096663094e-01,1.945343718654350482e+02,8.397097162517556113e-01,1.713053814193564450e-02
-5.365143082656930185e-01,7.440550045890439446e-01,2.506293435177697315e+00,4.521520455843137665e-01,1.934686345674410006e+02,7.904056966974918330e-01,1.643462645422910304e-02
-2.402048225487659394e+00,1.336848631451908354e+00,2.835334697729481768e+00,4.940856864005961357e-01,1.019993719291024661e+02,6.215301756633982988e-01,9.272338196224010759e-03
-1.258112486069596914e+00,2.696429395475445467e+00,2.764361287533079636e+00,2.289763367395394045e-01,1.646116346249193896e+02,4.913268449720480935e-01,2.554445547096887911e-02
-1.536313778450212331e+00,1.430065338825325050e+00,2.761219671280812360e+00,4.369202555811756983e-01,2.233677834391252190e+02,3.368111873140402501e-01,2.317389130068283482e-02
-2.646504579847445360e+00,1.407487903674027319e+00,2.355765128466528413e+00,3.323856169315387299e-01,2.024069183349082550e+02,3.264493959981168980e-01,2.127223789616547109e-02
-7.061555174268605573e-01,1.477004066233182256e+00,2.154480514062013796e+00,3.646410636537711358e-01,2.222704187631940442e+02,2.422746429492940168e-01,2.356499247515109891e-02
-1.814832386102702921e+00,2.933504183984450009e-01,2.071711248111872905e+00,5.813747079287326924e-01,1.428533283610978515e+02,3.508285247917614647e-01,2.899435662661357591e-02
-2.434898562311044845e+00,2.381864775043950111e+00,2.010991100997070458e+00,7.069799185014008502e-01,9.695487401675596573e+01,6.517405350187626123e-01,2.458151710408397472e-02
-2.376103563214325032e+00,1.329436181428151675e+00,2.227656645938005386e+00,4.585150096218907900e-01,1.026594792217863272e+02,4.437601297880701678e-01,6.075330667499722476e-03
4.877952747497481534e-01,5.979550415422900667e-01,2.215684628879972973e+00,5.378968570241212666e-01,1.109826694743441777e+02,1.460655624444252010e-01,9.028003988791151110e-03
4.252648504433899079e-01,8.003233930875887081e-01,2.537098229873378852e+00,7.246335376929453620e-01,2.137728604552716831e+02,3.071932872686441995e-01,2.350761177963659951e-02
-6.106378970567172271e-01,3.321060063152939890e+00,2.347633082670250726e+00,5.025643833647042147e-01,1.995363412038107924e+02,1.229234557831109242e-01,1.536543923216138023e-02
-8.445291046529925794e-01,3.776927360571411985e+00,2.386279856601372984e+00,1.860169723007310816e-01,3.777266248352096909e+02,1.647155810398014952e-01,1.789327259833429010e-02
-2.100602630916224289e-01,2.894047707558784488e-01,2.922055457819056734e+00,9.407841798379046327e-02,3.599006456622802261e+02,3.226690181040469674e-01,1.993543536479838035e-02
3.735433254708965256e-01,2.619372226396208703e+00,2.483400004484813461e+00,2.819809690106722666e-01,3.863634036384482329e+02,3.859236535196299278e-01,9.245451239530513496e-03
1.323390114024995956e+00,2.448703327876443847e+00,1.927982860720705460e+00,3.759405072116486224e-01,3.150158628801999612e+02,5.012815785991650008e-01,1.292194549937733701e-02
1.831152911234454006e+00,2.630232847303624055e-01,1.526377663039448995e+00,9.107273391613891766e-02,3.450980090276624423e+02,6.006229225488131096e-01,1.960312426846212708e-02
2.409036553805691927e+00,6.032781785263021668e-01,1.283827193393344945e+00,3.102149884651132505e-01,4.240628749880036708e+02,7.572147610225452574e-01,1.602711018655163938e-02
2.356425087789995043e+00,1.319640947423803112e+00,1.397135040373125303e+00,1.498686239646769836e-01,4.696065302706826401e+02,7.095464506902544599e-01,1.904289870941936955e-02
3.051644309145989720e+00,4.119158843535183578e+00,1.970942524993628098e+00,1.506480428405978789e-01,4.145580296938079528e+02,6.914231358990543530e-01,2.856720038442557216e-02
1.791200351088764187e+00,5.870214802973179324e+00,2.041150289375408544e+00,3.363767393671636408e-02,4.503236111037914498e+02,6.915963505032731717e-01,2.130528274875802958e-02
2.481790336976539280e+00,5.836977708829070188e+00,2.007817969203451902e+00,3.470210721507474005e-01,4.605685638188781468e+02,4.588013392957764891e-01,5.609023732808353369e-03
3.148121079022039748e+00,6.013011310992741443e+00,2.123032701484832696e+00,3.049219420294000532e-02,4.158935309984620403e+02,3.853021125150928872e-01,3.318340900964433619e-03
2.206836815477061009e+00,4.053461493812186234e+00,1.581162679164926255e+00,4.551723287531611595e-02,4.190894680800606693e+02,5.214670669356398225e-01,1.565321282507870643e-02
3.739389194311362630e+00,3.230456720009831528e+00,1.650516734656908513e+00,2.031598664841595125e-01,3.073842447166757097e+02,5.387352034112468102e-01,1.450501936707774588e-02
3.274447440296721190e+00,2.974463687259639499e+00,1.371833336232278988e+00,1.821389778534858728e-01,3.577995665844388213e+02,5.539037910515549612e-01,2.923741104253390483e-02
3.487413254115788952e+00,2.395705550698462805e+00,1.174511290970779553e+00,2.719660702717748291e-01,2.572668198233123462e+02,4.852282968581105860e-01,1.365783242466793446e-02
2.772537575114609520e+00,1.150241851109583324e+00,1.515948036206844929e+00,5.737584826602875054e-01,1.394358374057193828e+02,4.193012944336578229e-01,1.887411332752308209e-03
1.824557527127906864e+00,2.256459236361394172e-01,1.094271190638095970e+00,2.795613843883092420e-01,1.509354503139639405e+02,2.294242480612197210e-01,8.936600677182640964e-03
9.921364617841303968e-01,2.814454844785851062e+00,1.369339320094712820e+00,5.648379706535704425e-01,1.893503956151725731e+02,3.752010425175688613e-01,9.247192003516799264e-03
6.176541597010744289e-02,1.155368032337721784e+00,1.551336539687686145e+00,7.452147058872746754e-01,2.259258650760897922e+02,4.686879891965281542e-01,1.652476769382850126e-03
-2.397421940297293774e-01,2.669139086885686574e+00,1.656355586090093146e+00,4.266184042337288762e-01,1.949665919608005709e+02,2.480060529945539993e-01,1.226353371458019544e-02
-5.437477891265979357e-01,6.202536213416953714e+00,1.769927272182654443e+00,5.276633142993621961e-01,7.421842220535948798e+01,1.289463139616401077e-01,1.437141577153183691e-02
-1.000677928662256772e-01,5.517395598383357580e+00,1.741098094692954179e+00,4.845273955318086245e-01,2.124112522501884825e+02,3.609948919089915331e-01,5.744149079215172225e-03
4.697661584878696783e-01,5.992040763360454214e+00,1.990300308483453628e+00,5.006571572033203799e-01,2.498745163823140558e+02,4.136415427311069259e-01,2.161494210369773947e-02
-1.979255471602470173e+00,6.439952109816826642e+00,2.149708506394394814e+00,2.710407783096204226e-01,1.025883769266777961e+02,3.930195435970120776e-01,7.167716383572185490e-03
-2.168810972777629242e+00,6.330300228312373712e+00,2.036243624411004927e+00,3.204532082571139306e-01,8.665391534104752225e+01,4.031420844171072493e-01,1.077236727460200924e-02
-1.211613366511450796e+00,7.470294577970174821e+00,2.002183671118381358e+00,4.797285804670218257e-01,1.434238000410591951e+02,2.915737598171853073e-01,1.781407518772512924e-02
-2.418284242203506462e+00,7.317264329332847872e+00,1.893244136258697141e+00,6.474435008040381190e-01,1.201466941533942645e+02,2.110636908101707343e-01,1.176100395505883661e-02
-2.846453900503446377e+00,5.960352161233698709e+00,1.457812398661786579e+00,5.179073822283101203e-01,2.285817389560442052e+02,1.011005813445274570e-01,5.876268592868159543e-03
-3.502579730426117255e+00,6.951378002422297087e+00,1.503013007494316655e+00,5.703917440126216043e-01,1.152516359904495289e+02,1.503004477068735911e-01,1.540493376150322766e-02
-2.447385624573539697e+00,7.011602599862351681e+00,1.254580860772318784e+00,4.005654888882896336e-01,2.517692643898724043e+02,2.041349653668761976e-01,1.213664467156262347e-02
-3.463330984319334505e+00,3.870276472380060895e+00,1.610052034708771451e+00,3.465237696426118341e-01,3.406009501740056749e+02,1.631516009747149276e-01,1.914558255008879870e-02
-1.012452123390541026e+00,4.000351517536768320e+00,1.399939312744284736e+00,2.356093315188140247e-01,4.347426970794058434e+02,1.133061264173968186e-01,1.760429582064680989e-02
-8.604053402223207359e-01,3.174821290081717873e+00,1.386940753163683926e+00,3.357414234671522446e-01,4.098917245439473618e+02,1.905067626593558439e-01,3.086088973973150767e-02
4.408427129561290347e-01,6.677584821920986791e+00,1.656348455057684799e+00,1.606091677912080684e-01,4.522240220953065659e+02,1.578702548085844926e-01,2.967792774490253874e-02
