TT,C0,beta,ETF,FC,FRAC,K2
1.768093635514316864e+00,6.139918376868929162e-01,2.549540446824233531e+00,7.759161522731450322e-02,3.107129858321952156e+02,3.719326474249885495e-01,4.217835561252749471e-02
3.371317143629294133e+00,7.119021131203669139e-03,2.455921370403872039e+00,9.348046695445685894e-02,4.268811869712125713e+02,5.728706274970455370e-01,3.846518669799049023e-02
3.881307029522031549e+00,1.465628380170652667e+00,2.580538602427458805e+00,5.246958936561907372e-02,3.811823036229436639e+02,6.356311609569202936e-01,4.581279260154941940e-02
3.881307029522031549e+00,1.465628380170652667e+00,2.580538602427458805e+00,5.246958936561907372e-02,3.811823036229436639e+02,6.356311609569202936e-01,4.581279260154941940e-02
3.881307029522031549e+00,1.465628380170652667e+00,2.580538602427458805e+00,5.246958936561907372e-02,3.811823036229436639e+02,6.356311609569202936e-01,4.581279260154941940e-02
1.731853241716622582e+00,1.589176715021759945e+00,2.210937785438645165e+00,2.869716637520259780e-02,3.269286478041284454e+02,6.240474833198283999e-01,4.821653281221981863e-02
5.240283937199080588e-01,2.313520484666894195e+00,2.332475145423068330e+00,3.558176035916423841e-01,3.881828465609968930e+02,7.094352709694004000e-01,4.308297224057533459e-02
8.416737512782005437e-01,3.020828076921116878e+00,2.080522348919649378e+00,3.495860338663314137e-01,3.899193787690401791e+02,6.333000244519222388e-01,4.905874269151499351e-02
-3.520544208877692816e-01,6.399480195083214085e+00,1.606192532642431336e+00,3.334847849924001406e-01,4.250784360102715027e+02,6.340455577161172585e-01,4.594894630944643121e-02
1.352042362820973009e+00,7.240070506326253152e+00,1.494594297391121707e+00,8.422916506898514566e-02,3.222639050947011015e+02,8.810235264412541456e-01,2.974842853011022692e-02
1.607792715131186601e+00,7.434506470675671608e+00,1.278748568489206150e+00,3.633431071095306608e-01,3.114678390748808283e+02,8.105652739292799058e-01,2.885844710133863428e-02
6.647182248438250340e-01,5.448110315568598594e+00,1.107342088419672521e+00,6.123303774324818649e-01,3.268209074843817916e+02,8.831097818899076302e-01,4.450632432718125420e-02
2.734515382766052660e+00,6.968798967894458407e+00,1.406791585262157307e+00,5.611913713581042629e-01,3.490800305670056218e+02,8.171521457974673108e-01,4.701208564111736266e-02
1.975184834380290688e+00,9.278012867568532940e+00,1.638509131468764979e+00,7.666932354964253182e-01,3.318490736162095800e+02,8.251751594814440427e-01,4.458244466612309304e-02
2.035546247755877669e+00,3.478947112115201357e+00,1.089100119569603731e+00,2.623553960687964315e-01,4.901961236350510944e+02,4.220010635664974696e-01,4.500852199476728516e-02
6.769240752491075819e-01,9.385983153592558637e-01,1.185000836644060973e+00,3.375823641179887535e-01,4.781963114243266659e+02,7.590719742568656780e-01,4.042498427225970498e-02
1.383359282152561986e+00,7.632456925888830845e-01,1.626788645351343154e+00,4.904427123835495839e-01,4.125633912300451698e+02,5.848731502748930611e-01,3.479589891947550834e-02
1.337760821652842935e+00,4.769829247615224310e-01,1.895027044328334798e+00,4.935601707313094777e-01,4.731259960438297867e+02,5.738158591595770019e-01,4.078663198503443971e-02
2.096728037374280262e+00,9.163882965293074223e-01,1.459488157676767983e+00,6.591045268901988274e-01,4.572940969358247685e+02,3.734374490679577829e-01,3.619508258783436794e-02
3.329956740520049419e+00,1.816309328284379854e+00,1.728673595672516106e+00,7.114860301036689538e-01,4.946370557184119434e+02,4.414180548393851766e-01,3.530994761104946228e-02
1.698737897511979345e+00,1.320530197426616814e+00,1.641149873978245521e+00,8.241302172479934018e-01,4.553148690141854331e+02,3.702799511092498830e-01,4.149173757064895246e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
1.403101775044144572e+00,1.294882684779451232e+00,1.181176510993293682e+00,6.240515795461748505e-01,4.413569792416855080e+02,4.199728856448369241e-01,4.530010754999573563e-02
2.468267737053662980e+00,4.849240892067884778e-01,1.716914700669321725e+00,5.144909500973420258e-01,3.152950497572068116e+02,5.007348873781957144e-01,3.120356677519261351e-02
6.780896833472028762e-01,8.912847897538717090e-01,1.840352407530228440e+00,5.622342204196452142e-01,2.842687202190486460e+02,7.157270346492287105e-01,2.156741020591317060e-02
2.511433378771110281e+00,5.861922995667588898e-01,1.527495666322624013e+00,6.625645473018662024e-01,3.498643022893849093e+02,6.555076562132905460e-01,1.285694367714376035e-02
3.995034610456349444e+00,2.149294088511604972e+00,1.269039717579272919e+00,9.969188735514157296e-01,4.225000714485837534e+02,7.663199781360053864e-01,2.515674972467105489e-02
3.995034610456349444e+00,2.149294088511604972e+00,1.269039717579272919e+00,9.969188735514157296e-01,4.225000714485837534e+02,7.663199781360053864e-01,2.515674972467105489e-02
3.995034610456349444e+00,2.149294088511604972e+00,1.269039717579272919e+00,9.969188735514157296e-01,4.225000714485837534e+02,7.663199781360053864e-01,2.515674972467105489e-02
3.995034610456349444e+00,2.149294088511604972e+00,1.269039717579272919e+00,9.969188735514157296e-01,4.225000714485837534e+02,7.663199781360053864e-01,2.515674972467105489e-02
3.995034610456349444e+00,2.149294088511604972e+00,1.269039717579272919e+00,9.969188735514157296e-01,4.225000714485837534e+02,7.663199781360053864e-01,2.515674972467105489e-02
2.002963186639640458e+00,1.112750888602107802e+00,1.728602935522110862e+00,8.389351759652371454e-01,4.270791746421052153e+02,7.621376193536836263e-01,2.064040799615331559e-02
3.097219693136385565e+00,5.248774102305674205e+00,2.547084733273681234e+00,9.188655035569985863e-01,3.581846280875369075e+02,3.408104890482314686e-01,2.925036777699547078e-02
2.572869127153691426e+00,5.052911907097336730e+00,2.882706183321685600e+00,8.143041530142798301e-01,3.422094368599933887e+02,5.039124524627974777e-01,2.154341629054870935e-02
1.768129749194849332e+00,6.071261823696366022e+00,1.949655756666257345e+00,7.237085162632532764e-01,3.093429673799454918e+02,3.256471096220007189e-01,2.382069599696320233e-02
3.952623683842164226e+00,2.679671029901507850e+00,2.356072366172221599e+00,7.625062888424491980e-01,3.972249316168316113e+02,4.535804448266506639e-01,1.910016330775618498e-02
-4.485743469819296336e-02,4.989255726191859530e+00,1.980450786952257625e+00,4.607912209955835614e-01,2.649869999155146729e+02,1.653747282759450432e-01,3.737856233107656606e-02
-5.616770698215668711e-02,6.014470116622582019e+00,1.779811520679106751e+00,6.756091702635467211e-01,3.334902538655560420e+02,2.322273453506911445e-01,4.384871269795777987e-02
1.407751796017584045e+00,4.768491264414094211e+00,2.080756142300260958e+00,6.086297794569859310e-01,2.768000058557161083e+02,2.086587617196635769e-01,4.885125830787868245e-02
2.260248506891708420e+00,1.298964829208166583e+00,2.423794363521557305e+00,6.487669279268981626e-01,1.774688157283316912e+02,3.335488327690744326e-01,4.628781737223314208e-02
2.171195725613860095e+00,4.515703042545069046e+00,2.004082487851374772e+00,9.490669486930751741e-01,2.666993474920798803e+02,2.923545546736049938e-01,4.985972936230144426e-02
1.851487174885072973e+00,6.043363812072691132e+00,1.236313588202782032e+00,8.829793693242325991e-01,3.085126554638348466e+02,4.732938166185377549e-01,4.338683305927332895e-02
3.409299714008375837e+00,8.001563862771623903e+00,1.029000583317967843e+00,9.218612087327218152e-01,3.456787416017099304e+02,7.101120978207723367e-01,4.253908175180211304e-02
2.331671034556469291e+00,6.343940200716480682e+00,1.580504078455993611e+00,7.909872538390314567e-01,2.759923931609700958e+02,6.318152717649853090e-01,4.558325328142599775e-02
2.331671034556469291e+00,6.343940200716480682e+00,1.580504078455993611e+00,7.909872538390314567e-01,2.759923931609700958e+02,6.318152717649853090e-01,4.558325328142599775e-02
1.597189186757174806e+00,6.837474642737771724e+00,1.598887131732099398e+00,8.029615450752130013e-01,2.760674959674960292e+02,8.529988315011669542e-01,4.642329233155199908e-02
1.597189186757174806e+00,6.837474642737771724e+00,1.598887131732099398e+00,8.029615450752130013e-01,2.760674959674960292e+02,8.529988315011669542e-01,4.642329233155199908e-02
1.600119398596021147e+00,6.045529234345622172e+00,1.886557216408171866e+00,7.179897724448562890e-01,2.947958726939103258e+02,8.368949345023561914e-01,4.299300167691936375e-02
8.109869048499984689e-01,6.104182555924673181e+00,2.015395240419993517e+00,4.797121400155721083e-01,2.954882028029804246e+02,8.285376758702099886e-01,4.945788242948161856e-02
3.068347058806329741e+00,4.874784653654340438e+00,2.958734355370219227e+00,7.143478479105865864e-01,3.396395757581927342e+02,6.548363083585136968e-01,3.475374830144879745e-02
5.355076814271035879e-01,4.957880149803501446e+00,2.792523385484198872e+00,5.920705588062369351e-01,2.750825518725484358e+02,6.609109660992320556e-01,4.046461062967297850e-02
-4.460794545211430040e-02,2.390741418021589126e+00,2.065088808409226484e+00,2.015053745248757411e-01,3.518021545238173644e+02,6.628255245295139320e-01,3.164478050563811901e-02
-4.672118880901711124e-01,2.168143972222565274e+00,2.666109257360677276e+00,7.006299361637642609e-02,3.384264467288183482e+02,7.148922444534668852e-01,1.912564674918924845e-02
-1.694245004087862938e+00,1.435264753363063139e+00,2.968399997377933364e+00,1.273190540837657869e-01,3.693689316111838821e+02,7.466582888499103676e-01,2.024981137840300288e-02
-3.216242879794556142e+00,4.465662017061555744e+00,2.896956003475200436e+00,8.796851540645019701e-03,3.715274326805924829e+02,7.136624876035551068e-01,1.660965926350510546e-02
-1.113117624228810554e+00,3.482738833066378437e+00,2.969911962749671730e+00,5.800123055459670968e-02,4.403770789980490008e+02,5.967588695667305210e-01,2.762615873003810424e-02
-1.113117624228810554e+00,3.482738833066378437e+00,2.969911962749671730e+00,5.800123055459670968e-02,4.403770789980490008e+02,5.967588695667305210e-01,2.762615873003810424e-02
-9.825573375499151441e-01,2.191845266220703525e+00,2.367921475460924796e+00,9.701798933506750044e-02,4.338804609217859820e+02,6.192142480977107510e-01,2.739961067908865469e-02
-3.409579220220982698e+00,3.728473419611266770e+00,2.011151686097431668e+00,2.419935061178533076e-01,4.702368185378687713e+02,6.508990691402747331e-01,3.282774783331869617e-02
-2.789681570799642962e+00,3.973452336904268023e+00,1.942253284957947690e+00,5.768073385265816144e-01,3.730839021084309479e+02,4.144248808691763375e-01,3.411307372448533354e-02
-1.615392469269836262e+00,3.118266392352919691e+00,2.734827291449696496e+00,1.669571464768213886e-01,4.002664623071617029e+02,4.691148762185753385e-01,3.138006063359966014e-02
-2.325832836841096984e+00,2.007961795750285550e+00,2.473145778891599811e+00,2.002756126642769308e-01,3.137291016928620593e+02,2.225237334429087666e-01,4.658237882164796562e-02
-2.005324029799318009e+00,2.315506873740976079e+00,2.168346583862581056e+00,4.495602668876754748e-01,2.707037235452672803e+02,2.155705490091317789e-01,4.603608498864978499e-02
-2.495167769749200293e+00,2.081041770987781980e+00,2.555745092928748630e+00,6.023107329719514791e-01,1.604074670844221373e+02,4.683971606524647835e-01,3.061721080204065151e-02
6.626250555095636319e-01,7.998406581468308074e-01,2.186371799014946049e+00,8.518500728323175064e-01,1.548148424365815004e+02,3.001201147195866614e-01,4.496717862296541190e-02
4.890197202624467776e-01,9.466526047261173415e-01,1.837031120587471200e+00,8.067961502417367869e-01,1.501047457509554306e+02,6.629294670838876691e-01,3.754229891785928336e-02
7.463185826786251642e-01,2.355144767125782135e+00,1.596468672161794444e+00,8.084570644195148148e-01,9.414259935491699594e+01,8.219621759479439627e-01,3.992286520192928762e-02
2.061835540764492825e-01,8.674356245909801144e-01,1.701424722122626854e+00,8.659123914841311276e-01,7.550315684242595182e+01,8.608227065989519922e-01,2.893920960014339377e-02
-9.430975068451776799e-01,2.095688549434652881e+00,1.627700644903619542e+00,6.034540698603088060e-01,1.158175033857364156e+02,7.174266932659776330e-01,1.596440678009231062e-02
2.515341409583719212e+00,1.985354629439260332e+00,1.189909883165578774e+00,7.350963604410545305e-01,1.068768957743308476e+02,6.589791838057479367e-01,1.793699891730908547e-02
2.240921989381862822e+00,4.462391190686035181e+00,1.046858087902836187e+00,8.247860818362696689e-01,1.045976811490801310e+02,7.347874058201117053e-01,2.525018347590683374e-02
2.166100659209523549e+00,2.976201616047705834e+00,1.339138405593157666e+00,7.614990001704784461e-01,1.122260328327957808e+02,8.629418356118063738e-01,2.167987392883459485e-02
2.554961409341689915e+00,3.456218242192825585e+00,1.577087222918690079e+00,6.184166334013189159e-01,1.069794237873269083e+02,7.555940545958332866e-01,2.399366358434556687e-02
2.626684218481141642e+00,2.437316588685496388e+00,1.463333940023759494e+00,8.277174044945768694e-01,1.906460406490393495e+02,4.612799654003435501e-01,2.215117539885014947e-02
2.626684218481141642e+00,2.437316588685496388e+00,1.463333940023759494e+00,8.277174044945768694e-01,1.906460406490393495e+02,4.612799654003435501e-01,2.215117539885014947e-02
1.414820097518692220e-02,1.387012097196162808e+00,1.833326786761117377e+00,9.461988694775529396e-01,2.448062980131589086e+02,5.799984741521265752e-01,2.283370354708910352e-02
-2.725727945044102540e+00,9.081197856062709350e-01,2.185535111981238732e+00,6.113091974583824140e-01,2.026585867768258424e+02,5.819672609038165634e-01,3.032655525115916795e-02
-2.813197964818294317e+00,3.499305665692735268e+00,2.373211570979412599e+00,5.019490464833911147e-01,1.860237841878680456e+02,8.540332328153744657e-01,4.229347065274626644e-02
-3.567260079164272124e+00,3.719429011879988423e+00,1.912257773942990680e+00,2.327484392630113919e-01,8.857586975530102791e+01,8.028779147674449668e-01,3.330588925949543033e-02
-3.567260079164272124e+00,3.719429011879988423e+00,1.912257773942990680e+00,2.327484392630113919e-01,8.857586975530102791e+01,8.028779147674449668e-01,3.330588925949543033e-02
-2.781222694370429238e+00,2.839755524669708375e+00,2.553974603867203541e+00,6.907854390133809364e-02,3.470482450719266581e+02,6.408965657115973658e-01,2.932962223179455888e-02
-8.321193982131316336e-01,3.592412731817860028e+00,2.641457006859411205e+00,5.669152263556584970e-01,3.763468792090631609e+02,4.907301109074196366e-01,3.974350322472630648e-02
-1.203820323522123648e+00,5.717646057068357379e+00,2.629453909964893032e+00,5.932124971152720194e-01,3.725122547578041576e+02,3.096342136621478836e-01,4.876403658404587088e-02
-3.894546993656872180e-01,2.596979146991205578e+00,2.415374915569066250e+00,1.928057851695589853e-01,4.689857662191865870e+02,1.207575562703969707e-01,4.692148015983204495e-02
