TT,C0,beta,ETF,FC,FRAC,K2
1.653003804777482433e+00,0.000000000000000000e+00,2.274710356891214591e+00,8.908487232756112650e-01,2.368030241610928499e+02,1.802500246312390975e-01,5.000000000000000278e-02
4.253889186259826594e-01,0.000000000000000000e+00,1.991245221921767783e+00,6.570321118075594935e-01,2.833169221132164353e+02,1.117519410453220452e-01,5.000000000000000278e-02
-5.166154715269665187e-01,0.000000000000000000e+00,1.750573183981586345e+00,6.605251255329726012e-01,3.842119389649486152e+02,1.000000000000000056e-01,4.108911615911097631e-02
-1.583931535439815075e-01,9.474248839031439440e-01,2.026865483379123756e+00,5.040734159341533349e-01,4.923323428067741929e+02,2.096389796382851500e-01,4.151013931177220673e-02
-1.696926307980662685e+00,0.000000000000000000e+00,2.054925391487167019e+00,6.784112198220872969e-01,5.000000000000000000e+02,1.915943530708604514e-01,4.220130905035752306e-02
1.066113077998388947e+00,0.000000000000000000e+00,2.533478938556450899e+00,8.066409855909032478e-01,5.000000000000000000e+02,1.000000000000000056e-01,5.000000000000000278e-02
-8.403392811565189024e-01,0.000000000000000000e+00,2.135465978371974494e+00,8.273943793588336426e-01,5.000000000000000000e+02,1.000000000000000056e-01,5.000000000000000278e-02
-9.679570566615548488e-01,1.658134217680919953e+00,2.234224397312797095e+00,1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000056e-01,5.000000000000000278e-02
-6.961606268846559642e-01,0.000000000000000000e+00,2.276281604952140381e+00,1.000000000000000000e+00,3.560336440773714344e+02,1.467876317189501234e-01,4.577761478352718877e-02
-4.273087980582376127e-02,0.000000000000000000e+00,2.145296572165056759e+00,1.000000000000000000e+00,4.049215856893466139e+02,1.012473562144857453e-01,5.000000000000000278e-02
4.524429470024611821e-01,2.805376997098736336e+00,1.894888441872928819e+00,7.817356894715659088e-01,3.701529507165300856e+02,1.000000000000000056e-01,4.815217683512895697e-02
-6.288129485865907586e-01,2.290262452937616544e+00,1.305320759176184398e+00,6.883170208703156545e-01,4.156792477731876261e+02,3.291201533261124412e-01,3.364653265190541143e-02
-1.629749823066417802e+00,1.436393165027765040e+00,1.489314740632376566e+00,8.044449361653318586e-01,4.085140469914512096e+02,3.870787586689291571e-01,2.994758028192411742e-02
-2.359093053287150799e+00,0.000000000000000000e+00,1.234905476701588789e+00,8.503003412211823653e-01,3.979047440046207953e+02,5.199533804060063602e-01,1.667765445778029640e-02
-2.447739763893173048e+00,0.000000000000000000e+00,1.184948313161661604e+00,6.026167721623052476e-01,4.356035274774105233e+02,5.810296018665225271e-01,2.283604735377779693e-02
-1.967316828906857440e+00,0.000000000000000000e+00,1.396204082034667726e+00,2.432038957706074700e-01,4.273443206332634645e+02,5.276283294789150258e-01,2.336612933357248151e-02
-9.756382899236486494e-01,0.000000000000000000e+00,2.751074586316186288e+00,2.334694174046443582e-02,5.000000000000000000e+02,5.929292245474384604e-01,2.896000438484527123e-02
4.032137304531779320e-01,0.000000000000000000e+00,2.852288072643465622e+00,1.629400549471372583e-01,5.000000000000000000e+02,5.943696079697108337e-01,2.198695016239557778e-02
1.735380852532573348e+00,0.000000000000000000e+00,2.530364774825945684e+00,2.417714969239918854e-01,5.000000000000000000e+02,6.165173902490227453e-01,2.174953223089333421e-02
2.716663521095786127e+00,3.790386756760396603e-01,1.987921119557189975e+00,1.061925451610242765e-01,4.796095812256533009e+02,4.671314316444525327e-01,2.403393774296113186e-02
2.143974360481561092e+00,6.381228262210346669e-01,2.007449670082223747e+00,2.901577947035762217e-01,5.000000000000000000e+02,3.240982443106818489e-01,1.422404337234326951e-02
-4.443788896257297449e-01,1.751387511946783881e+00,2.030763531123739973e+00,6.197342315852904376e-02,4.076525881173193966e+02,4.174889284204197915e-01,1.510411906791063810e-02
-6.137333909814024491e-01,1.102782721876324201e+00,2.306612979489110593e+00,0.000000000000000000e+00,3.866139180236025936e+02,4.679133533944708767e-01,5.731320982924189775e-03
-1.712419940232756455e+00,3.502637931088398826e+00,2.826002577687371620e+00,1.851913584017837178e-01,2.607414201269874638e+02,3.985636014860816090e-01,0.000000000000000000e+00
-2.264917096253916018e+00,2.642757204760847856e+00,2.650006825016697043e+00,4.781155681397796231e-01,1.562365672294549768e+02,2.658288885743992913e-01,0.000000000000000000e+00
-3.139563613375888185e+00,2.918748833226553430e+00,2.588989740229456160e+00,3.195620183861014874e-01,1.008587782821253711e+02,2.926197500461133472e-01,9.488287554685847364e-03
-2.906769327089234967e+00,1.564535572695075150e+00,2.932519461663449789e+00,3.167539654844277464e-01,1.472238516545602351e+02,4.914940048079244339e-01,1.423934874147406680e-02
-1.889946410625797046e+00,1.393889722705273559e+00,3.000000000000000000e+00,2.939210941394412857e-01,2.616893254344818160e+02,1.547902670935533964e-01,9.387229449449885701e-03
-3.190607309916352108e+00,6.236305384989990902e-02,2.571907668622799292e+00,1.460919408422433341e-01,2.962889795219319922e+02,1.000000000000000056e-01,1.586326371447997763e-02
-4.000000000000000000e+00,7.500809615871111280e-01,2.694326551895368738e+00,0.000000000000000000e+00,3.434341211138518588e+02,1.000000000000000056e-01,1.829414120748944911e-02
-3.773757041590603656e+00,1.578795871962987762e+00,2.914638011978120335e+00,0.000000000000000000e+00,3.456406011515750265e+02,1.000000000000000056e-01,3.205616157525512100e-02
-4.000000000000000000e+00,2.750619702099258213e+00,2.698478272995151528e+00,2.231996768880590287e-01,3.384531225906961822e+02,1.000000000000000056e-01,2.695382942190128334e-02
-4.000000000000000000e+00,3.066080123262629797e+00,2.949664092462079168e+00,2.444577298959368927e-01,4.373067755202455942e+02,1.149462918495998548e-01,6.610356107366025316e-03
-2.979441545305391070e+00,4.751320353663847307e+00,2.343311984408477766e+00,2.199809854279313193e-01,4.793346785232957359e+02,1.037642908894473026e-01,2.051344876133820092e-02
-2.238445141616056677e+00,4.611376211083502596e+00,2.771836814877902899e+00,3.321616139251006850e-01,4.454694844021162794e+02,1.000000000000000056e-01,1.940413588779021925e-02
-4.000000000000000000e+00,5.167602620735308072e+00,2.814122037413120392e+00,3.319598643743691957e-01,3.900460728743833556e+02,2.946654210566960752e-01,1.354019767230825802e-02
-3.769214198856852160e+00,6.160441280036330625e+00,3.000000000000000000e+00,3.992108750123603556e-01,2.173100708700487473e+02,2.783437174579156403e-01,1.546945030595392283e-02
-4.000000000000000000e+00,6.357128469027614415e+00,3.000000000000000000e+00,3.113967853339946745e-01,4.108164881453140538e+02,4.885969797484255306e-01,1.082788165752795496e-02
-3.950273422742594409e+00,5.738251361694614694e+00,3.000000000000000000e+00,3.452920920944857475e-01,4.418986828560087474e+02,7.864674224848013928e-01,1.636568782968413982e-03
-1.309095131401809553e+00,4.875765862311200571e+00,2.877928829546599676e+00,6.904116469918931687e-01,3.385561061061871442e+02,7.464393273927703021e-01,0.000000000000000000e+00
-1.094089495710903082e+00,2.018922618929818391e+00,2.458796369459297804e+00,7.226512791021191262e-01,3.336451372871703143e+02,9.000000000000000222e-01,0.000000000000000000e+00
-7.533975705290708591e-01,1.526286934234324821e+00,2.752173390175084666e+00,4.237922587885752934e-01,4.342578412555060368e+02,9.000000000000000222e-01,0.000000000000000000e+00
-2.207930873521232462e-01,4.074845885619525099e+00,2.839177124559903120e+00,6.734794801642439710e-01,4.855319495754626473e+02,9.000000000000000222e-01,0.000000000000000000e+00
-1.706509851030398428e+00,2.151803076611479071e+00,3.000000000000000000e+00,4.924473848758676997e-01,3.402080698562794510e+02,9.000000000000000222e-01,0.000000000000000000e+00
2.889129383718154753e-01,1.934159453162452635e+00,3.000000000000000000e+00,3.441934708469562287e-01,2.792821020437938841e+02,9.000000000000000222e-01,0.000000000000000000e+00
-6.883945789344615429e-01,1.319731135498739993e+00,2.927397516250800802e+00,1.604707798210300018e-01,3.138957692641272956e+02,9.000000000000000222e-01,0.000000000000000000e+00
-5.662555118377493590e-01,4.207237741037724632e+00,3.000000000000000000e+00,2.747680877655342968e-01,2.445807580108383661e+02,7.997224310585732132e-01,0.000000000000000000e+00
3.985252544814098519e-01,2.238006748308671856e+00,3.000000000000000000e+00,3.754956369994648657e-01,1.499507630702918561e+02,8.587932745283474167e-01,4.820366355674995940e-03
6.485741627269445697e-01,1.465267705971895040e+00,2.964119896982110092e+00,3.609224296308043423e-01,1.479967271162437612e+02,7.143855414974389362e-01,1.187655613003972023e-02
1.528608880862750485e+00,9.072790922225556498e-01,3.000000000000000000e+00,1.787626422101441515e-01,1.774133116978647138e+02,6.111936784893310382e-01,7.264659083767974895e-03
2.452361539701886972e+00,2.783988285526237227e+00,3.000000000000000000e+00,3.943785582291323144e-01,2.220394515968432643e+02,5.333319777252932825e-01,0.000000000000000000e+00
1.769382870756655901e+00,1.542798095387322821e+00,3.000000000000000000e+00,9.593028965373928685e-02,2.306040574505370557e+02,6.604665688916614430e-01,3.394633014054593192e-03
3.625606884083839798e+00,0.000000000000000000e+00,2.800019467614897728e+00,1.083316732985895731e-01,3.587983678808516288e+02,7.214982786146743043e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.187443032623340500e+00,3.000000000000000000e+00,3.247778134164147623e-02,2.699056278695038031e+02,4.571864873851346212e-01,0.000000000000000000e+00
4.000000000000000000e+00,2.855361797057342166e+00,3.000000000000000000e+00,1.743337702607146988e-01,2.307905985773128918e+02,4.607331688720971985e-01,0.000000000000000000e+00
4.000000000000000000e+00,2.291408106899963215e+00,3.000000000000000000e+00,1.663108375005766248e-01,1.519608983735980416e+02,7.011377374531684303e-01,0.000000000000000000e+00
3.697673613873134535e+00,5.138463326405944720e+00,2.786760108465831109e+00,9.557791696733813902e-02,2.871211965424298000e+02,5.018173269527902436e-01,4.429595056669883017e-04
1.218858511596872862e+00,2.289400345123654201e+00,2.789174161766787119e+00,1.853853102772458072e-01,3.198730570404862874e+02,6.203945351409567710e-01,6.460440954038093771e-03
2.771719972339036442e+00,2.076316432686402980e+00,2.651326036777428286e+00,3.099142117644129724e-01,2.640596259779096613e+02,8.578115657044910192e-01,2.280276717279564394e-02
2.516514125645433086e+00,4.511304486754439402e+00,2.133197957935659694e+00,1.685292034474343004e-01,2.505741665228314332e+02,7.176846401421997923e-01,2.395739438652676190e-02
2.195961451284212274e+00,2.938021352203949998e+00,2.272523993364250927e+00,2.183888516118684120e-01,2.349071467018771102e+02,9.000000000000000222e-01,2.817358427611329000e-02
1.006608079418140456e+00,4.640321252397010987e+00,2.705703819672628629e+00,3.603995130410203585e-01,2.687239666242370504e+02,8.876261204521320725e-01,1.503934418960766774e-02
2.200007940874599832e+00,7.149284981167366659e+00,2.178239894662545861e+00,3.715867498348637832e-01,3.676692978921784061e+02,9.000000000000000222e-01,1.304591177103476413e-02
-2.225601918708988158e-01,9.063272224494227203e+00,2.239437660759736382e+00,3.275196729208670332e-01,2.563930870792273140e+02,8.231882048516194761e-01,2.312296224809533285e-02
-4.000000000000000000e+00,1.000000000000000000e+01,2.337584065642226872e+00,1.253361222198504099e-01,2.691266692583437248e+02,7.920346889081533170e-01,3.116552596145068590e-02
-3.321574416945686448e+00,9.053695862398290828e+00,2.060353541278255651e+00,4.435932568775459439e-02,2.870253072936703802e+02,8.309798630482437831e-01,4.577492253453226828e-02
-1.053522538391723495e+00,7.388388740007740374e+00,2.412016113514418691e+00,2.169987811583935500e-01,2.499418035042124586e+02,8.337673443122488592e-01,4.876595386498471657e-02
-1.264381380488952322e+00,9.595424334306770220e+00,2.362664377656596315e+00,2.645508921667524271e-01,1.852974516164387637e+02,9.000000000000000222e-01,5.000000000000000278e-02
-1.981995304657339751e+00,1.000000000000000000e+01,2.097137497551863738e+00,3.740050169078887321e-01,1.610393547283059377e+02,9.000000000000000222e-01,5.000000000000000278e-02
-1.319649663842635601e+00,1.000000000000000000e+01,2.022972215815036723e+00,2.939028824867084277e-01,1.215951421228404854e+02,8.033617913195341131e-01,4.416379519935006298e-02
-1.635784136873454697e+00,8.692223446933818209e+00,2.212640172323442123e+00,2.336851114177543876e-01,9.628554001967903275e+01,8.773664034176756887e-01,4.872259534696291028e-02
