TT,C0,beta,ETF,FC,FRAC,K2
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,5.664680239000435130e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.458151520436777482e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
2.768674490450515169e+00,2.474903358296123734e+00,1.857739619421711064e+00,7.928051858913989780e-02,2.337128753113719029e+02,2.057483589487314191e-01,4.822569752387609321e-02
