TT,C0,beta,ETF,FC,FRAC,K2
9.112576328772767909e-01,1.356576099208807618e+00,2.132870337616525891e+00,2.350923994938212691e-01,2.915721926795752097e+02,2.150223694478904102e-01,4.325726636449853807e-02
9.112576328772767909e-01,1.356576099208807618e+00,2.132870337616525891e+00,2.350923994938212691e-01,2.915721926795752097e+02,2.150223694478904102e-01,4.325726636449853807e-02
-2.337291529744922602e-01,5.880429290819655375e-01,2.198162478113891982e+00,1.136845582943275951e-01,2.335531884421963582e+02,3.285214018663353275e-01,4.345775342629350224e-02
-2.337291529744922602e-01,5.880429290819655375e-01,2.198162478113891982e+00,1.136845582943275951e-01,2.335531884421963582e+02,3.285214018663353275e-01,4.345775342629350224e-02
-2.337291529744922602e-01,5.880429290819655375e-01,2.198162478113891982e+00,1.136845582943275951e-01,2.335531884421963582e+02,3.285214018663353275e-01,4.345775342629350224e-02
-2.337291529744922602e-01,5.880429290819655375e-01,2.198162478113891982e+00,1.136845582943275951e-01,2.335531884421963582e+02,3.285214018663353275e-01,4.345775342629350224e-02
-2.337291529744922602e-01,5.880429290819655375e-01,2.198162478113891982e+00,1.136845582943275951e-01,2.335531884421963582e+02,3.285214018663353275e-01,4.345775342629350224e-02
7.743420545709387391e-03,2.045441926121675635e+00,1.664056103052512503e+00,4.948879598837103988e-02,2.512754814352604740e+02,1.713850919161678810e-01,4.218887377483377527e-02
7.743420545709387391e-03,2.045441926121675635e+00,1.664056103052512503e+00,4.948879598837103988e-02,2.512754814352604740e+02,1.713850919161678810e-01,4.218887377483377527e-02
1.183588509670601363e+00,2.351980848896569665e+00,1.383923510761330355e+00,1.440593497014053259e-01,3.533299712547596982e+02,3.112476928890979266e-01,3.539108247419838621e-02
1.322691340400173887e+00,7.233829640175232223e-01,1.609543466841822479e+00,1.945571420560927300e-01,2.554035847497104044e+02,3.850162179816214447e-01,3.758290635853068357e-02
-1.323219628714979557e+00,3.157203752315627110e-01,2.133515472198596274e+00,6.410386729992845201e-02,2.776961903265263913e+02,2.635573190216297101e-01,3.134221359653863170e-02
-3.330179593346768829e+00,1.028333334756202255e+00,2.481878945295321603e+00,1.286374506202480061e-01,1.959006144098904940e+02,1.945530638720617544e-01,2.990106600931154504e-02
-3.415607864982238784e+00,1.012155695866930882e-01,1.934747278341853782e+00,1.016136431540374946e-01,1.011431153872083542e+02,1.151990108592715195e-01,3.505454574425331815e-02
-3.415607864982238784e+00,1.012155695866930882e-01,1.934747278341853782e+00,1.016136431540374946e-01,1.011431153872083542e+02,1.151990108592715195e-01,3.505454574425331815e-02
-3.415607864982238784e+00,1.012155695866930882e-01,1.934747278341853782e+00,1.016136431540374946e-01,1.011431153872083542e+02,1.151990108592715195e-01,3.505454574425331815e-02
-2.851426037557017512e+00,1.870610531368962492e-01,1.861778798835378668e+00,6.986959543282143803e-02,1.079753975288925432e+02,2.191008994753179118e-01,3.499533641388735683e-02
-2.851426037557017512e+00,1.870610531368962492e-01,1.861778798835378668e+00,6.986959543282143803e-02,1.079753975288925432e+02,2.191008994753179118e-01,3.499533641388735683e-02
-2.851426037557017512e+00,1.870610531368962492e-01,1.861778798835378668e+00,6.986959543282143803e-02,1.079753975288925432e+02,2.191008994753179118e-01,3.499533641388735683e-02
-6.193370651778016267e-01,4.615582472544545456e-01,2.029009270096567619e+00,3.633440847461467116e-01,1.447219511648517027e+02,2.674873600283186881e-01,3.780538772548938664e-02
-6.193370651778016267e-01,4.615582472544545456e-01,2.029009270096567619e+00,3.633440847461467116e-01,1.447219511648517027e+02,2.674873600283186881e-01,3.780538772548938664e-02
-6.193370651778016267e-01,4.615582472544545456e-01,2.029009270096567619e+00,3.633440847461467116e-01,1.447219511648517027e+02,2.674873600283186881e-01,3.780538772548938664e-02
-6.193370651778016267e-01,4.615582472544545456e-01,2.029009270096567619e+00,3.633440847461467116e-01,1.447219511648517027e+02,2.674873600283186881e-01,3.780538772548938664e-02
