TT,C0,beta,ETF,FC,FRAC,K2
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.883674417225319475e+00,6.136493580839776918e-01,2.506416029829988457e+00,2.424186560543525604e-01,1.379760987481768950e+02,3.106170777636247382e-01,2.463625249249840055e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.537964547975115615e+00,1.066227381861976298e+00,2.974521482287091345e+00,3.502595736837839091e-01,2.130052126366343259e+02,3.610402702162363586e-01,1.774230559628373755e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
9.833401741392415740e-01,2.893784512086612914e-01,2.485141966265993485e+00,1.015141459346836778e-01,1.498594299316450531e+02,3.727342923808922293e-01,3.338139679888223188e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.883674417225319475e+00,6.136493580839776918e-01,2.506416029829988457e+00,2.424186560543525604e-01,1.379760987481768950e+02,3.106170777636247382e-01,2.463625249249840055e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
9.833401741392415740e-01,2.893784512086612914e-01,2.485141966265993485e+00,1.015141459346836778e-01,1.498594299316450531e+02,3.727342923808922293e-01,3.338139679888223188e-02
7.768301875447973792e-01,7.337212438927586122e-01,1.713139895555177539e+00,5.333495011638834660e-01,2.338397170050211571e+02,3.678542743313619745e-01,2.313157068399207886e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.107913346847387626e+00,5.877618345779302977e-01,2.505877237664515977e+00,5.780102204895750523e-02,5.092968928717889554e+01,2.567024433556736041e-01,1.031900215417896026e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.523171679012109259e+00,7.075759664262278870e-01,2.794859176997213979e+00,3.310453059045931901e-01,1.308510661280941463e+02,4.198820977537319754e-01,3.428753085100626208e-02
1.983847901863271757e+00,1.151665308238192464e+00,2.413535903164895746e+00,2.274501172139602734e-01,1.624821621094255590e+02,3.553396208245960808e-01,3.264345344112904584e-02
1.760022908241668960e+00,1.145830104445186404e+00,2.664456434916289584e+00,2.425253521570345516e-01,9.074754637182738293e+01,2.541341266712519587e-01,1.830125781741413771e-02
