TT,C0,beta,ETF,FC,FRAC,K2
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,1.723089902168764898e+00,6.024775895605975068e-02,1.964700863878213113e+02,3.116301967042375831e-01,4.916847770006833179e-02
1.126399841881077446e+00,1.039360632301832510e+00,2.762454786253393912e+00,6.024775895605975068e-02,1.906655659248351071e+02,3.284943600400714314e-01,4.457588328243228953e-02
1.126399841881077446e+00,1.039360632301832510e+00,2.762454786253393912e+00,6.024775895605975068e-02,1.906655659248351071e+02,3.284943600400714314e-01,4.457588328243228953e-02
1.126399841881077446e+00,1.039360632301832510e+00,2.762454786253393912e+00,6.024775895605975068e-02,1.906655659248351071e+02,3.284943600400714314e-01,4.457588328243228953e-02
1.126399841881077446e+00,1.039360632301832510e+00,2.762454786253393912e+00,6.024775895605975068e-02,1.906655659248351071e+02,3.284943600400714314e-01,4.457588328243228953e-02
1.126399841881077446e+00,1.039360632301832510e+00,2.762454786253393912e+00,6.024775895605975068e-02,1.906655659248351071e+02,3.284943600400714314e-01,4.457588328243228953e-02
1.126399841881077446e+00,1.039360632302358756e+00,2.762454786253123906e+00,6.024775895678768228e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.457588328122896043e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310625614923e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.323578011784135616e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310625614923e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.323578011784135616e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310625614923e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.323578011784135616e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310625614923e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.323578011784135616e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310625614923e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.323578011784135616e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310733099777e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.355659913467700012e-02
1.126399841881077446e+00,1.003827015317826143e+00,2.762454786253123906e+00,5.430116310733099777e-02,1.906655659248337713e+02,3.284943600407750908e-01,4.355659913467700012e-02
