TT,C0,beta,ETF,FC,FRAC,K2
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245718624725e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820694296786e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
3.185058245717330205e+00,2.586498060496853491e+00,1.615461764461833649e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
2.958168731682751407e+00,2.586498060496853491e+00,1.640820099028903467e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
2.958168731682751407e+00,2.586498060496853491e+00,1.640820099028903467e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
2.958168731682751407e+00,2.586498060496853491e+00,1.640820099028903467e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
2.958168731682751407e+00,2.586498060496853491e+00,1.640820099028903467e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
2.958168731682751407e+00,2.586498060496853491e+00,1.640820099028903467e+00,3.223982820602188520e-02,2.400917971388441856e+02,2.115367994098683035e-01,4.867907967343729214e-02
