TT,C0,beta,ETF,FC,FRAC,K2
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.660989910220886934e+00,2.557087721276831704e+00,2.009335172671926628e+00,1.790715086426532829e-03,1.884599374414726753e+02,2.223933567861955674e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.990660798409098264e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.990660798409098264e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.990660798409098264e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.990660798409098264e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.990660798409098264e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
2.989006026093790069e+00,2.821049058320734826e+00,1.883719601859434434e+00,1.503887158606359922e-02,1.863772646384054781e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.109386030497138798e+00,2.821049058320734826e+00,1.525390504327963637e+00,4.852134118854199013e-02,2.121736640683583062e+02,1.479819097315012433e-01,4.519682670616508718e-02
3.039211878398700772e+00,2.803270310940557231e+00,1.886470417379129794e+00,8.829117634167704676e-02,2.169150042975388430e+02,1.742681836282451435e-01,4.519682670616508718e-02
3.043316280169587440e+00,2.803270310940557231e+00,1.886470417379129794e+00,8.829117634167704676e-02,2.169150042975388430e+02,1.742681836282451435e-01,4.519682670616508718e-02
3.043316280169587440e+00,2.803270310940557231e+00,1.886470417379129794e+00,8.829117634167704676e-02,2.169150042975388430e+02,1.742681836282451435e-01,4.519682670616508718e-02
2.644263158103442368e+00,2.265838065094746057e+00,1.886470417379129794e+00,1.091511022209752657e-01,2.356640228938799169e+02,1.886980319552743202e-01,4.785591118614204720e-02
2.644263158103442368e+00,2.265838065094746057e+00,1.886470417379129794e+00,1.091511022209752657e-01,2.356640228938799169e+02,1.886980319552743202e-01,4.785591118614204720e-02
2.644263158103442368e+00,2.265838065094746057e+00,1.886470417379129794e+00,1.091511022209752657e-01,2.356640228938799169e+02,1.886980319552743202e-01,4.785591118614204720e-02
