TT,C0,beta,ETF,FC,FRAC,K2
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433181349283e+00,2.579181570443012994e+00,1.760618590839566622e+00,1.021333082945093534e-01,2.411606235328956132e+02,1.794829975760554586e-01,4.656097369341209019e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570441803295e+00,1.760618590840232534e+00,1.021333082945093534e-01,2.411606235328965795e+02,1.794829975759471008e-01,4.656097369241445072e-02
2.821096433180356744e+00,2.579181570442460103e+00,1.760618590840232534e+00,1.021333082948640142e-01,2.411606235328965795e+02,1.794829975753707563e-01,4.656097369149851672e-02
2.821096433180356744e+00,2.579181570442460103e+00,1.760618590840232534e+00,1.021333082948640142e-01,2.411606235328965795e+02,1.794829975753707563e-01,4.656097369149851672e-02
2.821096433182347152e+00,2.579181570441246407e+00,1.760618590839932773e+00,1.021333082959878374e-01,2.411606235328949595e+02,1.794829975739237471e-01,4.656097369334179226e-02
2.821096433182347152e+00,2.579181570441246407e+00,1.760618590839932773e+00,1.021333082959878374e-01,2.411606235328949595e+02,1.794829975739237471e-01,4.656097369334179226e-02
2.821096433182347152e+00,2.579181570441246407e+00,1.760618590839932773e+00,1.021333082959878374e-01,2.411606235328949595e+02,1.794829975739237471e-01,4.656097369334179226e-02
2.821096433182347152e+00,2.579181570441246407e+00,1.760618590839932773e+00,1.021333082959878374e-01,2.411606235328949595e+02,1.794829975739237471e-01,4.656097369334179226e-02
2.974112643734715178e+00,2.607990663625948891e+00,1.451829220435400414e+00,9.698977494241441122e-02,2.554436066126143601e+02,2.178422700185797256e-01,4.826550825940171402e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.607990663625948891e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.826550826092878416e-02
2.974112643735825401e+00,2.617684319955803307e+00,1.451829220435992829e+00,9.698977494241441122e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.922139787402189659e-02
2.974112643735825401e+00,2.617684319955803307e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.974112643735825401e+00,2.617684319955803307e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.554436066126149001e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.974112643733239914e+00,2.617684319956189665e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.397537394158675284e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.974112643733239914e+00,2.617684319956189665e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.397537394158675284e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.974112643733239914e+00,2.617684319956189665e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.397537394158675284e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.974112643733239914e+00,2.617684319956189665e+00,1.451829220435992829e+00,9.698977494339147687e-02,2.397537394158675284e+02,2.178422700183335059e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
2.675190162177159436e+00,2.351899041103727495e+00,1.631481401742771453e+00,4.804638804408097735e-02,2.767509591015816000e+02,2.491156222009342502e-01,4.922139787443392117e-02
