TT,C0,beta,ETF,FC,FRAC,K2
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
3.972017593455894779e+00,4.497090621448326608e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
2.497688092145638805e+00,2.193020918424087640e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
2.497688092145638805e+00,2.193020918424087640e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
2.497688092145638805e+00,2.193020918424087640e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
2.497688092145638805e+00,2.193020918424087640e+00,1.633045209321932312e+00,1.240980967192628973e-02,2.684380967126915607e+02,1.470366632554760411e-01,4.981986282922092057e-02
