TT,C0,beta,ETF,FC,FRAC,K2
3.600402419173981183e+00,3.401130472248924619e+00,1.815061940570247501e+00,4.031067451623439324e-02,2.521851486899797692e+02,2.073054778304191936e-01,4.280839344867892748e-02
3.600402419173981183e+00,3.401130472248924619e+00,1.815061940570247501e+00,4.031067451623439324e-02,2.521851486899797692e+02,2.073054778304191936e-01,4.280839344867892748e-02
3.600402419173981183e+00,3.401130472248924619e+00,1.815061940570247501e+00,4.031067451623439324e-02,2.521851486899797692e+02,2.073054778304191936e-01,4.280839344867892748e-02
3.600402419173981183e+00,3.401130472248924619e+00,1.815061940570247501e+00,4.031067451623439324e-02,2.521851486899797692e+02,2.073054778304191936e-01,4.280839344867892748e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173679203e+00,3.401130472247982262e+00,1.815061940569893340e+00,4.031067451585806233e-02,2.521851486899795702e+02,2.073054778311348711e-01,4.280839345077619429e-02
3.600402419173589053e+00,3.401130472247301473e+00,1.815061940570478205e+00,4.031067451534235679e-02,2.521851486899775807e+02,2.073054778316807678e-01,4.280839345200222745e-02
3.600402419173589053e+00,3.401130472247301473e+00,1.815061940570478205e+00,4.031067451534235679e-02,2.521851486899775807e+02,2.073054778316807678e-01,4.280839345200222745e-02
3.600402419173589053e+00,3.401130472247301473e+00,1.815061940570478205e+00,4.031067451534235679e-02,2.521851486899775807e+02,2.073054778316807678e-01,4.280839345200222745e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,4.031067451542311858e-02,2.521851486899772681e+02,2.073054778308725810e-01,4.280839344960751802e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.073054778308725810e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.048476329516855377e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.048476329516855377e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.048476329516855377e-01,4.964458604675064946e-02
3.600402419173194257e+00,3.401130472247583914e+00,1.815061940571330190e+00,5.845549962739311246e-03,2.521851486899772681e+02,2.048476329516855377e-01,4.964458604675064946e-02
2.884051538930868297e+00,2.613463785692048180e+00,2.199672971478896510e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491407019180e-01,4.836425481215124444e-02
2.884051538930868297e+00,2.613463785692048180e+00,2.199672971478896510e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491407019180e-01,4.836425481215124444e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690970820e+00,2.199672971479413430e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481217732081e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538931549530e+00,2.613463785690958385e+00,2.199672971479957440e+00,1.284226706374707455e-02,2.426701529238074215e+02,2.243915491421671071e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.884051538932245862e+00,2.613463785690933072e+00,2.199672971479957440e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.836425481295907047e-02
2.307317358045546385e+00,2.035532281945788835e+00,1.800365457504657707e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.866965201131699670e-02
2.307317358045546385e+00,2.035532281945788835e+00,1.800365457504657707e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.866965201131699670e-02
2.307317358045546385e+00,2.035532281945788835e+00,1.800365457504657707e+00,1.284226705940492291e-02,2.426701529238074215e+02,2.243915491405958085e-01,4.866965201131699670e-02
