TT,C0,beta,ETF,FC,FRAC,K2
3.120923893922578074e+00,2.909761760000195707e+00,1.622513902350064097e+00,8.498393623805458597e-02,2.221349595811108202e+02,2.248645567234224263e-01,4.746492832784558052e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382101646949e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142024845e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.701919382102206946e+00,1.952364896906708003e+00,6.906829670444536440e-02,2.332706491142007508e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.574307562952020678e+00,1.355946650410750243e+00,1.101279443164931808e-02,2.332706491142007508e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.574307562952020678e+00,1.355946650410750243e+00,1.101279443164931808e-02,2.332706491142007508e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.574307562952020678e+00,1.355946650410750243e+00,1.101279443164931808e-02,2.332706491142007508e+02,2.613058584670044926e-01,4.785062091287501512e-02
3.012117143819932785e+00,2.574307562952020678e+00,1.355946650410750243e+00,1.101279443164931808e-02,2.332706491142007508e+02,2.613058584670044926e-01,4.785062091287501512e-02
