# TT,C0,beta,ETF,FC,FRAC,K2
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
1.889854591669251516e+00,3.041911503536562478e+00,2.398795685104653241e+00,1.861861733378993300e-01,8.972807257244679704e+02,3.477952123898320758e-01,2.073799864816798857e-02
